DHB,Dose1,Population,Date
Northland,130,582,2022-02-07
Waitemata,2214,6497,2022-02-07
Auckland,2417,7257,2022-02-07
Counties Manukau,6533,20488,2022-02-07
Waikato,657,1950,2022-02-07
Lakes,129,405,2022-02-07
Bay of Plenty,184,696,2022-02-07
Tairawhiti,57,128,2022-02-07
Taranaki,63,260,2022-02-07
Hawkes Bay,237,994,2022-02-07
MidCentral,252,932,2022-02-07
Whanganui,42,277,2022-02-07
Capital and Coast,1011,2822,2022-02-07
Hutt Valley,559,1521,2022-02-07
Wairarapa,37,141,2022-02-07
Nelson Marlborough,173,477,2022-02-07
West Coast,17,56,2022-02-07
Canterbury,737,2442,2022-02-07
South Canterbury,100,211,2022-02-07
Southern,410,1171,2022-02-07
Overseas / Unknown,8,91,2022-02-07
Total,15967,49398,2022-02-07
