DHB,Dose1,Dose2,Population,Date
Northland,208,40,582,2022-04-02
Waitemata,2986,622,6497,2022-04-02
Auckland,3308,729,7257,2022-04-02
Counties Manukau,9572,1833,20488,2022-04-02
Waikato,930,180,1950,2022-04-02
Lakes,185,41,405,2022-04-02
Bay of Plenty,293,47,696,2022-04-02
Tairawhiti,83,11,128,2022-04-02
Taranaki,105,33,260,2022-04-02
Hawkes Bay,433,60,994,2022-04-02
MidCentral,431,98,932,2022-04-02
Whanganui,100,12,277,2022-04-02
Capital and Coast,1415,347,2822,2022-04-02
Hutt Valley,829,158,1521,2022-04-02
Wairarapa,80,13,141,2022-04-02
Nelson Marlborough,260,60,477,2022-04-02
West Coast,25,6,56,2022-04-02
Canterbury,1261,264,2442,2022-04-02
South Canterbury,153,16,211,2022-04-02
Southern,634,135,1171,2022-04-02
Overseas / Unknown,12,5,91,2022-04-02
Total,23303,4709,49398,2022-04-02
