DHB,Dose1,Population,Date
Northland,156,582,2022-02-15
Waitemata,2448,6497,2022-02-15
Auckland,2701,7257,2022-02-15
Counties Manukau,7501,20488,2022-02-15
Waikato,720,1950,2022-02-15
Lakes,137,405,2022-02-15
Bay of Plenty,209,696,2022-02-15
Tairawhiti,61,128,2022-02-15
Taranaki,69,260,2022-02-15
Hawkes Bay,291,994,2022-02-15
MidCentral,300,932,2022-02-15
Whanganui,53,277,2022-02-15
Capital and Coast,1094,2822,2022-02-15
Hutt Valley,627,1521,2022-02-15
Wairarapa,49,141,2022-02-15
Nelson Marlborough,185,477,2022-02-15
West Coast,20,56,2022-02-15
Canterbury,860,2442,2022-02-15
South Canterbury,111,211,2022-02-15
Southern,481,1171,2022-02-15
Overseas / Unknown,9,91,2022-02-15
Total,18082,49398,2022-02-15
