DHB,Dose1,Dose2,Population,Date
Northland,207,30,582,2022-03-29
Waitemata,2983,551,6497,2022-03-29
Auckland,3302,643,7257,2022-03-29
Counties Manukau,9549,1552,20488,2022-03-29
Waikato,928,165,1950,2022-03-29
Lakes,184,38,405,2022-03-29
Bay of Plenty,291,43,696,2022-03-29
Tairawhiti,82,10,128,2022-03-29
Taranaki,105,32,260,2022-03-29
Hawkes Bay,432,54,994,2022-03-29
MidCentral,428,84,932,2022-03-29
Whanganui,101,11,277,2022-03-29
Capital and Coast,1410,282,2822,2022-03-29
Hutt Valley,828,137,1521,2022-03-29
Wairarapa,80,12,141,2022-03-29
Nelson Marlborough,259,56,477,2022-03-29
West Coast,25,5,56,2022-03-29
Canterbury,1255,206,2442,2022-03-29
South Canterbury,151,13,211,2022-03-29
Southern,629,102,1171,2022-03-29
Overseas / Unknown,13,5,91,2022-03-29
Total,23242,4030,49398,2022-03-29
