DHB,Dose1,Population,Date
Northland,89,582,2022-01-29
Waitemata,1716,6497,2022-01-29
Auckland,1781,7257,2022-01-29
Counties Manukau,4591,20488,2022-01-29
Waikato,479,1950,2022-01-29
Lakes,110,405,2022-01-29
Bay of Plenty,134,696,2022-01-29
Tairawhiti,18,128,2022-01-29
Taranaki,50,260,2022-01-29
Hawkes Bay,152,994,2022-01-29
MidCentral,161,932,2022-01-29
Whanganui,31,277,2022-01-29
Capital and Coast,753,2822,2022-01-29
Hutt Valley,391,1521,2022-01-29
Wairarapa,18,141,2022-01-29
Nelson Marlborough,131,477,2022-01-29
West Coast,7,56,2022-01-29
Canterbury,528,2442,2022-01-29
South Canterbury,82,211,2022-01-29
Southern,276,1171,2022-01-29
Overseas / Unknown,5,91,2022-01-29
Total,11503,49398,2022-01-29
