DHB,Dose1,Population,Date
Northland,81,582,2022-01-27
Waitemata,1477,6497,2022-01-27
Auckland,1500,7257,2022-01-27
Counties Manukau,3613,20488,2022-01-27
Waikato,421,1950,2022-01-27
Lakes,101,405,2022-01-27
Bay of Plenty,119,696,2022-01-27
Tairawhiti,13,128,2022-01-27
Taranaki,46,260,2022-01-27
Hawkes Bay,125,994,2022-01-27
MidCentral,143,932,2022-01-27
Whanganui,29,277,2022-01-27
Capital and Coast,593,2822,2022-01-27
Hutt Valley,311,1521,2022-01-27
Wairarapa,15,141,2022-01-27
Nelson Marlborough,120,477,2022-01-27
West Coast,5,56,2022-01-27
Canterbury,411,2442,2022-01-27
South Canterbury,49,211,2022-01-27
Southern,228,1171,2022-01-27
Overseas / Unknown,5,91,2022-01-27
Total,9404,49398,2022-01-27
