DHB,Dose1,Dose2,Population,Date
Northland,210,50,582,2022-04-10
Waitemata,2995,704,6497,2022-04-10
Auckland,3314,845,7257,2022-04-10
Counties Manukau,9610,2119,20488,2022-04-10
Waikato,930,205,1950,2022-04-10
Lakes,185,45,405,2022-04-10
Bay of Plenty,292,49,696,2022-04-10
Tairawhiti,85,12,128,2022-04-10
Taranaki,107,35,260,2022-04-10
Hawkes Bay,432,78,994,2022-04-10
MidCentral,432,113,932,2022-04-10
Whanganui,104,17,277,2022-04-10
Capital and Coast,1416,378,2822,2022-04-10
Hutt Valley,828,185,1521,2022-04-10
Wairarapa,81,15,141,2022-04-10
Nelson Marlborough,261,63,477,2022-04-10
West Coast,24,8,56,2022-04-10
Canterbury,1268,311,2442,2022-04-10
South Canterbury,153,22,211,2022-04-10
Southern,636,168,1171,2022-04-10
Overseas / Unknown,12,5,91,2022-04-10
Total,23375,5426,49398,2022-04-10
