DHB,Dose1,Dose2,Population,Date
Northland,187,5,582,2022-03-03
Waitemata,2828,55,6497,2022-03-03
Auckland,3114,110,7257,2022-03-03
Counties Manukau,8907,289,20488,2022-03-03
Waikato,878,16,1950,2022-03-03
Lakes,165,5,405,2022-03-03
Bay of Plenty,268,5,696,2022-03-03
Tairawhiti,76,5,128,2022-03-03
Taranaki,92,5,260,2022-03-03
Hawkes Bay,379,5,994,2022-03-03
MidCentral,385,5,932,2022-03-03
Whanganui,87,5,277,2022-03-03
Capital and Coast,1343,20,2822,2022-03-03
Hutt Valley,783,5,1521,2022-03-03
Wairarapa,76,5,141,2022-03-03
Nelson Marlborough,240,5,477,2022-03-03
West Coast,25,5,56,2022-03-03
Canterbury,1147,8,2442,2022-03-03
South Canterbury,132,5,211,2022-03-03
Southern,580,5,1171,2022-03-03
Overseas / Unknown,12,5,91,2022-03-03
Total,21704,525,49398,2022-03-03
