DHB,Dose1,Population,Date
Northland,103,582,2022-02-01
Waitemata,1914,6497,2022-02-01
Auckland,2021,7257,2022-02-01
Counties Manukau,5286,20488,2022-02-01
Waikato,532,1950,2022-02-01
Lakes,118,405,2022-02-01
Bay of Plenty,148,696,2022-02-01
Tairawhiti,38,128,2022-02-01
Taranaki,56,260,2022-02-01
Hawkes Bay,198,994,2022-02-01
MidCentral,208,932,2022-02-01
Whanganui,36,277,2022-02-01
Capital and Coast,875,2822,2022-02-01
Hutt Valley,477,1521,2022-02-01
Wairarapa,24,141,2022-02-01
Nelson Marlborough,151,477,2022-02-01
West Coast,11,56,2022-02-01
Canterbury,637,2442,2022-02-01
South Canterbury,92,211,2022-02-01
Southern,334,1171,2022-02-01
Overseas / Unknown,7,91,2022-02-01
Total,13266,49398,2022-02-01
