DHB,Dose1,Dose2,Population,Date
Northland,199,5,582,2022-03-06
Waitemata,2877,69,6497,2022-03-06
Auckland,3180,138,7257,2022-03-06
Counties Manukau,9143,350,20488,2022-03-06
Waikato,891,20,1950,2022-03-06
Lakes,169,5,405,2022-03-06
Bay of Plenty,276,5,696,2022-03-06
Tairawhiti,78,5,128,2022-03-06
Taranaki,97,5,260,2022-03-06
Hawkes Bay,395,6,994,2022-03-06
MidCentral,389,5,932,2022-03-06
Whanganui,93,5,277,2022-03-06
Capital and Coast,1366,24,2822,2022-03-06
Hutt Valley,800,8,1521,2022-03-06
Wairarapa,76,5,141,2022-03-06
Nelson Marlborough,243,5,477,2022-03-06
West Coast,25,5,56,2022-03-06
Canterbury,1182,10,2442,2022-03-06
South Canterbury,136,5,211,2022-03-06
Southern,588,5,1171,2022-03-06
Overseas / Unknown,12,5,91,2022-03-06
Total,22215,647,49398,2022-03-06
