DHB,Dose1,Dose2,Population,Date
Northland,210,40,582,2022-04-03
Waitemata,2986,631,6497,2022-04-03
Auckland,3308,743,7257,2022-04-03
Counties Manukau,9572,1857,20488,2022-04-03
Waikato,931,181,1950,2022-04-03
Lakes,185,41,405,2022-04-03
Bay of Plenty,293,47,696,2022-04-03
Tairawhiti,83,12,128,2022-04-03
Taranaki,105,33,260,2022-04-03
Hawkes Bay,433,63,994,2022-04-03
MidCentral,431,98,932,2022-04-03
Whanganui,100,12,277,2022-04-03
Capital and Coast,1415,349,2822,2022-04-03
Hutt Valley,830,160,1521,2022-04-03
Wairarapa,80,13,141,2022-04-03
Nelson Marlborough,260,61,477,2022-04-03
West Coast,25,6,56,2022-04-03
Canterbury,1261,265,2442,2022-04-03
South Canterbury,153,16,211,2022-04-03
Southern,634,136,1171,2022-04-03
Overseas / Unknown,12,5,91,2022-04-03
Total,23307,4768,49398,2022-04-03
