DHB,Dose1,Population,Date
Northland,141,582,2022-02-09
Waitemata,2298,6497,2022-02-09
Auckland,2482,7257,2022-02-09
Counties Manukau,6784,20488,2022-02-09
Waikato,676,1950,2022-02-09
Lakes,132,405,2022-02-09
Bay of Plenty,198,696,2022-02-09
Tairawhiti,58,128,2022-02-09
Taranaki,63,260,2022-02-09
Hawkes Bay,245,994,2022-02-09
MidCentral,264,932,2022-02-09
Whanganui,49,277,2022-02-09
Capital and Coast,1034,2822,2022-02-09
Hutt Valley,564,1521,2022-02-09
Wairarapa,38,141,2022-02-09
Nelson Marlborough,174,477,2022-02-09
West Coast,19,56,2022-02-09
Canterbury,774,2442,2022-02-09
South Canterbury,103,211,2022-02-09
Southern,428,1171,2022-02-09
Overseas / Unknown,9,91,2022-02-09
Total,16533,49398,2022-02-09
