DHB,Dose1,Dose2,Population,Date
Northland,201,10,582,2022-03-18
Waitemata,2956,238,6497,2022-03-18
Auckland,3272,319,7257,2022-03-18
Counties Manukau,9424,679,20488,2022-03-18
Waikato,923,84,1950,2022-03-18
Lakes,181,17,405,2022-03-18
Bay of Plenty,286,24,696,2022-03-18
Tairawhiti,82,5,128,2022-03-18
Taranaki,103,15,260,2022-03-18
Hawkes Bay,426,14,994,2022-03-18
MidCentral,420,35,932,2022-03-18
Whanganui,98,5,277,2022-03-18
Capital and Coast,1404,104,2822,2022-03-18
Hutt Valley,828,44,1521,2022-03-18
Wairarapa,80,5,141,2022-03-18
Nelson Marlborough,256,12,477,2022-03-18
West Coast,25,5,56,2022-03-18
Canterbury,1234,47,2442,2022-03-18
South Canterbury,147,9,211,2022-03-18
Southern,622,22,1171,2022-03-18
Overseas / Unknown,12,5,91,2022-03-18
Total,22980,1684,49398,2022-03-18
