DHB,Dose1,Dose2,Population,Date
Northland,212,64,582,2022-05-01
Waitemata,3009,844,6497,2022-05-01
Auckland,3333,999,7257,2022-05-01
Counties Manukau,9636,2571,20488,2022-05-01
Waikato,936,252,1950,2022-05-01
Lakes,185,58,405,2022-05-01
Bay of Plenty,293,61,696,2022-05-01
Tairawhiti,85,16,128,2022-05-01
Taranaki,107,37,260,2022-05-01
Hawkes Bay,437,96,994,2022-05-01
MidCentral,436,139,932,2022-05-01
Whanganui,105,27,277,2022-05-01
Capital and Coast,1445,440,2822,2022-05-01
Hutt Valley,827,228,1521,2022-05-01
Wairarapa,81,18,141,2022-05-01
Nelson Marlborough,260,73,477,2022-05-01
West Coast,23,8,56,2022-05-01
Canterbury,1277,362,2442,2022-05-01
South Canterbury,153,22,211,2022-05-01
Southern,641,194,1171,2022-05-01
Overseas / Unknown,11,5,91,2022-05-01
Total,23492,6512,49398,2022-05-01
