DHB,Dose1,Population,Date
Northland,168,582,2022-02-21
Waitemata,2597,6497,2022-02-21
Auckland,2890,7257,2022-02-21
Counties Manukau,8189,20488,2022-02-21
Waikato,778,1950,2022-02-21
Lakes,140,405,2022-02-21
Bay of Plenty,228,696,2022-02-21
Tairawhiti,66,128,2022-02-21
Taranaki,74,260,2022-02-21
Hawkes Bay,325,994,2022-02-21
MidCentral,330,932,2022-02-21
Whanganui,71,277,2022-02-21
Capital and Coast,1201,2822,2022-02-21
Hutt Valley,695,1521,2022-02-21
Wairarapa,60,141,2022-02-21
Nelson Marlborough,224,477,2022-02-21
West Coast,22,56,2022-02-21
Canterbury,970,2442,2022-02-21
South Canterbury,121,211,2022-02-21
Southern,529,1171,2022-02-21
Overseas / Unknown,10,91,2022-02-21
Total,19688,49398,2022-02-21
