DHB,Dose1,Population,Date
Northland,166,582,2022-02-20
Waitemata,2550,6497,2022-02-20
Auckland,2867,7257,2022-02-20
Counties Manukau,8086,20488,2022-02-20
Waikato,770,1950,2022-02-20
Lakes,139,405,2022-02-20
Bay of Plenty,225,696,2022-02-20
Tairawhiti,65,128,2022-02-20
Taranaki,74,260,2022-02-20
Hawkes Bay,325,994,2022-02-20
MidCentral,321,932,2022-02-20
Whanganui,69,277,2022-02-20
Capital and Coast,1193,2822,2022-02-20
Hutt Valley,687,1521,2022-02-20
Wairarapa,60,141,2022-02-20
Nelson Marlborough,223,477,2022-02-20
West Coast,22,56,2022-02-20
Canterbury,959,2442,2022-02-20
South Canterbury,121,211,2022-02-20
Southern,522,1171,2022-02-20
Overseas / Unknown,10,91,2022-02-20
Total,19454,49398,2022-02-20
