DHB,Dose1,Population,Date
Northland,159,582,2022-02-17
Waitemata,2471,6497,2022-02-17
Auckland,2744,7257,2022-02-17
Counties Manukau,7625,20488,2022-02-17
Waikato,739,1950,2022-02-17
Lakes,137,405,2022-02-17
Bay of Plenty,218,696,2022-02-17
Tairawhiti,63,128,2022-02-17
Taranaki,72,260,2022-02-17
Hawkes Bay,308,994,2022-02-17
MidCentral,309,932,2022-02-17
Whanganui,63,277,2022-02-17
Capital and Coast,1127,2822,2022-02-17
Hutt Valley,646,1521,2022-02-17
Wairarapa,49,141,2022-02-17
Nelson Marlborough,197,477,2022-02-17
West Coast,20,56,2022-02-17
Canterbury,886,2442,2022-02-17
South Canterbury,111,211,2022-02-17
Southern,500,1171,2022-02-17
Overseas / Unknown,10,91,2022-02-17
Total,18454,49398,2022-02-17
