DHB,Dose1,Population,Date
Northland,145,582,2022-02-11
Waitemata,2350,6497,2022-02-11
Auckland,2539,7257,2022-02-11
Counties Manukau,6928,20488,2022-02-11
Waikato,697,1950,2022-02-11
Lakes,133,405,2022-02-11
Bay of Plenty,199,696,2022-02-11
Tairawhiti,58,128,2022-02-11
Taranaki,66,260,2022-02-11
Hawkes Bay,258,994,2022-02-11
MidCentral,274,932,2022-02-11
Whanganui,52,277,2022-02-11
Capital and Coast,1061,2822,2022-02-11
Hutt Valley,582,1521,2022-02-11
Wairarapa,43,141,2022-02-11
Nelson Marlborough,179,477,2022-02-11
West Coast,20,56,2022-02-11
Canterbury,809,2442,2022-02-11
South Canterbury,104,211,2022-02-11
Southern,443,1171,2022-02-11
Overseas / Unknown,9,91,2022-02-11
Total,16949,49398,2022-02-11
