DHB,Dose1,Dose2,Population,Date
Northland,182,5,582,2022-03-01
Waitemata,2813,46,6497,2022-03-01
Auckland,3101,106,7257,2022-03-01
Counties Manukau,8852,271,20488,2022-03-01
Waikato,871,11,1950,2022-03-01
Lakes,156,5,405,2022-03-01
Bay of Plenty,263,5,696,2022-03-01
Tairawhiti,75,5,128,2022-03-01
Taranaki,88,5,260,2022-03-01
Hawkes Bay,369,5,994,2022-03-01
MidCentral,373,5,932,2022-03-01
Whanganui,82,5,277,2022-03-01
Capital and Coast,1320,19,2822,2022-03-01
Hutt Valley,767,5,1521,2022-03-01
Wairarapa,76,5,141,2022-03-01
Nelson Marlborough,237,5,477,2022-03-01
West Coast,24,5,56,2022-03-01
Canterbury,1116,8,2442,2022-03-01
South Canterbury,130,5,211,2022-03-01
Southern,566,5,1171,2022-03-01
Overseas / Unknown,12,5,91,2022-03-01
Total,21473,484,49398,2022-03-01
