DHB,Dose1,Dose2,Population,Date
Northland,178,5,582,2022-02-26
Waitemata,2750,40,6497,2022-02-26
Auckland,3056,90,7257,2022-02-26
Counties Manukau,8676,241,20488,2022-02-26
Waikato,854,10,1950,2022-02-26
Lakes,153,5,405,2022-02-26
Bay of Plenty,252,5,696,2022-02-26
Tairawhiti,70,5,128,2022-02-26
Taranaki,86,5,260,2022-02-26
Hawkes Bay,355,5,994,2022-02-26
MidCentral,363,5,932,2022-02-26
Whanganui,77,5,277,2022-02-26
Capital and Coast,1296,17,2822,2022-02-26
Hutt Valley,752,5,1521,2022-02-26
Wairarapa,69,5,141,2022-02-26
Nelson Marlborough,236,5,477,2022-02-26
West Coast,22,5,56,2022-02-26
Canterbury,1066,6,2442,2022-02-26
South Canterbury,130,5,211,2022-02-26
Southern,553,5,1171,2022-02-26
Overseas / Unknown,11,5,91,2022-02-26
Total,21005,426,49398,2022-02-26
