DHB,Dose1,Dose2,Population,Date
Northland,212,50,582,2022-04-12
Waitemata,2993,721,6497,2022-04-12
Auckland,3319,853,7257,2022-04-12
Counties Manukau,9606,2146,20488,2022-04-12
Waikato,931,206,1950,2022-04-12
Lakes,185,45,405,2022-04-12
Bay of Plenty,293,49,696,2022-04-12
Tairawhiti,85,12,128,2022-04-12
Taranaki,107,35,260,2022-04-12
Hawkes Bay,432,79,994,2022-04-12
MidCentral,432,114,932,2022-04-12
Whanganui,104,19,277,2022-04-12
Capital and Coast,1419,383,2822,2022-04-12
Hutt Valley,828,187,1521,2022-04-12
Wairarapa,81,15,141,2022-04-12
Nelson Marlborough,261,64,477,2022-04-12
West Coast,24,8,56,2022-04-12
Canterbury,1269,317,2442,2022-04-12
South Canterbury,153,22,211,2022-04-12
Southern,636,172,1171,2022-04-12
Overseas / Unknown,11,5,91,2022-04-12
Total,23381,5500,49398,2022-04-12
