DHB,Dose1,Population,Date
Northland,69,582,2022-01-25
Waitemata,1221,6497,2022-01-25
Auckland,1242,7257,2022-01-25
Counties Manukau,2857,20488,2022-01-25
Waikato,322,1950,2022-01-25
Lakes,74,405,2022-01-25
Bay of Plenty,95,696,2022-01-25
Tairawhiti,8,128,2022-01-25
Taranaki,39,260,2022-01-25
Hawkes Bay,79,994,2022-01-25
MidCentral,122,932,2022-01-25
Whanganui,21,277,2022-01-25
Capital and Coast,443,2822,2022-01-25
Hutt Valley,223,1521,2022-01-25
Wairarapa,13,141,2022-01-25
Nelson Marlborough,85,477,2022-01-25
West Coast,5,56,2022-01-25
Canterbury,304,2442,2022-01-25
South Canterbury,38,211,2022-01-25
Southern,165,1171,2022-01-25
Overseas / Unknown,5,91,2022-01-25
Total,7425,49398,2022-01-25
