DHB,Dose1,Dose2,Population,Date
Northland,211,64,582,2022-04-28
Waitemata,3004,818,6497,2022-04-28
Auckland,3331,955,7257,2022-04-28
Counties Manukau,9626,2462,20488,2022-04-28
Waikato,936,242,1950,2022-04-28
Lakes,185,52,405,2022-04-28
Bay of Plenty,293,60,696,2022-04-28
Tairawhiti,85,16,128,2022-04-28
Taranaki,107,37,260,2022-04-28
Hawkes Bay,431,86,994,2022-04-28
MidCentral,437,134,932,2022-04-28
Whanganui,105,23,277,2022-04-28
Capital and Coast,1443,425,2822,2022-04-28
Hutt Valley,828,221,1521,2022-04-28
Wairarapa,81,17,141,2022-04-28
Nelson Marlborough,262,72,477,2022-04-28
West Coast,23,8,56,2022-04-28
Canterbury,1277,358,2442,2022-04-28
South Canterbury,153,22,211,2022-04-28
Southern,639,189,1171,2022-04-28
Overseas / Unknown,11,5,91,2022-04-28
Total,23468,6264,49398,2022-04-28
