DHB,Dose1,Dose2,Population,Date
Northland,212,53,582,2022-04-20
Waitemata,2998,759,6497,2022-04-20
Auckland,3323,883,7257,2022-04-20
Counties Manukau,9615,2255,20488,2022-04-20
Waikato,933,216,1950,2022-04-20
Lakes,185,49,405,2022-04-20
Bay of Plenty,293,53,696,2022-04-20
Tairawhiti,85,15,128,2022-04-20
Taranaki,107,35,260,2022-04-20
Hawkes Bay,430,80,994,2022-04-20
MidCentral,431,122,932,2022-04-20
Whanganui,104,19,277,2022-04-20
Capital and Coast,1419,393,2822,2022-04-20
Hutt Valley,828,203,1521,2022-04-20
Wairarapa,81,16,141,2022-04-20
Nelson Marlborough,262,69,477,2022-04-20
West Coast,24,8,56,2022-04-20
Canterbury,1271,336,2442,2022-04-20
South Canterbury,153,22,211,2022-04-20
Southern,639,179,1171,2022-04-20
Overseas / Unknown,11,5,91,2022-04-20
Total,23404,5768,49398,2022-04-20
