DHB,Dose1,Population,Date
Northland,164,582,2022-02-18
Waitemata,2483,6497,2022-02-18
Auckland,2763,7257,2022-02-18
Counties Manukau,7686,20488,2022-02-18
Waikato,750,1950,2022-02-18
Lakes,137,405,2022-02-18
Bay of Plenty,219,696,2022-02-18
Tairawhiti,64,128,2022-02-18
Taranaki,72,260,2022-02-18
Hawkes Bay,308,994,2022-02-18
MidCentral,309,932,2022-02-18
Whanganui,63,277,2022-02-18
Capital and Coast,1139,2822,2022-02-18
Hutt Valley,650,1521,2022-02-18
Wairarapa,49,141,2022-02-18
Nelson Marlborough,205,477,2022-02-18
West Coast,20,56,2022-02-18
Canterbury,893,2442,2022-02-18
South Canterbury,115,211,2022-02-18
Southern,506,1171,2022-02-18
Overseas / Unknown,10,91,2022-02-18
Total,18605,49398,2022-02-18
