DHB,Dose1,Dose2,Population,Date
Northland,212,63,582,2022-04-27
Waitemata,3003,809,6497,2022-04-27
Auckland,3331,949,7257,2022-04-27
Counties Manukau,9624,2439,20488,2022-04-27
Waikato,936,234,1950,2022-04-27
Lakes,185,52,405,2022-04-27
Bay of Plenty,293,60,696,2022-04-27
Tairawhiti,85,16,128,2022-04-27
Taranaki,107,37,260,2022-04-27
Hawkes Bay,431,84,994,2022-04-27
MidCentral,434,134,932,2022-04-27
Whanganui,105,23,277,2022-04-27
Capital and Coast,1427,421,2822,2022-04-27
Hutt Valley,830,221,1521,2022-04-27
Wairarapa,81,16,141,2022-04-27
Nelson Marlborough,261,72,477,2022-04-27
West Coast,23,8,56,2022-04-27
Canterbury,1277,357,2442,2022-04-27
South Canterbury,153,22,211,2022-04-27
Southern,638,189,1171,2022-04-27
Overseas / Unknown,11,5,91,2022-04-27
Total,23447,6209,49398,2022-04-27
