DHB,Dose1,Dose2,Population,Date
Northland,207,27,582,2022-03-28
Waitemata,2982,538,6497,2022-03-28
Auckland,3301,620,7257,2022-03-28
Counties Manukau,9547,1501,20488,2022-03-28
Waikato,925,164,1950,2022-03-28
Lakes,184,38,405,2022-03-28
Bay of Plenty,291,40,696,2022-03-28
Tairawhiti,82,10,128,2022-03-28
Taranaki,105,27,260,2022-03-28
Hawkes Bay,432,54,994,2022-03-28
MidCentral,427,76,932,2022-03-28
Whanganui,101,10,277,2022-03-28
Capital and Coast,1410,273,2822,2022-03-28
Hutt Valley,828,129,1521,2022-03-28
Wairarapa,80,12,141,2022-03-28
Nelson Marlborough,259,51,477,2022-03-28
West Coast,25,5,56,2022-03-28
Canterbury,1253,194,2442,2022-03-28
South Canterbury,151,13,211,2022-03-28
Southern,628,93,1171,2022-03-28
Overseas / Unknown,13,5,91,2022-03-28
Total,23231,3878,49398,2022-03-28
