DHB,Dose1,Dose2,Population,Date
Northland,212,52,582,2022-04-18
Waitemata,2995,746,6497,2022-04-18
Auckland,3324,873,7257,2022-04-18
Counties Manukau,9611,2204,20488,2022-04-18
Waikato,931,213,1950,2022-04-18
Lakes,185,48,405,2022-04-18
Bay of Plenty,293,49,696,2022-04-18
Tairawhiti,85,15,128,2022-04-18
Taranaki,107,35,260,2022-04-18
Hawkes Bay,430,80,994,2022-04-18
MidCentral,432,118,932,2022-04-18
Whanganui,104,19,277,2022-04-18
Capital and Coast,1419,391,2822,2022-04-18
Hutt Valley,828,194,1521,2022-04-18
Wairarapa,81,16,141,2022-04-18
Nelson Marlborough,261,66,477,2022-04-18
West Coast,24,8,56,2022-04-18
Canterbury,1269,330,2442,2022-04-18
South Canterbury,153,22,211,2022-04-18
Southern,639,174,1171,2022-04-18
Overseas / Unknown,11,5,91,2022-04-18
Total,23394,5656,49398,2022-04-18
