DHB,Dose1,Population,Date
Northland,141,582,2022-02-10
Waitemata,2318,6497,2022-02-10
Auckland,2509,7257,2022-02-10
Counties Manukau,6855,20488,2022-02-10
Waikato,682,1950,2022-02-10
Lakes,133,405,2022-02-10
Bay of Plenty,198,696,2022-02-10
Tairawhiti,58,128,2022-02-10
Taranaki,64,260,2022-02-10
Hawkes Bay,250,994,2022-02-10
MidCentral,265,932,2022-02-10
Whanganui,50,277,2022-02-10
Capital and Coast,1042,2822,2022-02-10
Hutt Valley,573,1521,2022-02-10
Wairarapa,39,141,2022-02-10
Nelson Marlborough,176,477,2022-02-10
West Coast,20,56,2022-02-10
Canterbury,793,2442,2022-02-10
South Canterbury,103,211,2022-02-10
Southern,436,1171,2022-02-10
Overseas / Unknown,9,91,2022-02-10
Total,16714,49398,2022-02-10
