DHB,Dose1,Dose2,Population,Date
Northland,202,5,582,2022-03-09
Waitemata,2895,78,6497,2022-03-09
Auckland,3196,146,7257,2022-03-09
Counties Manukau,9185,374,20488,2022-03-09
Waikato,899,23,1950,2022-03-09
Lakes,171,5,405,2022-03-09
Bay of Plenty,278,8,696,2022-03-09
Tairawhiti,78,5,128,2022-03-09
Taranaki,98,5,260,2022-03-09
Hawkes Bay,405,7,994,2022-03-09
MidCentral,394,5,932,2022-03-09
Whanganui,95,5,277,2022-03-09
Capital and Coast,1377,26,2822,2022-03-09
Hutt Valley,815,9,1521,2022-03-09
Wairarapa,78,5,141,2022-03-09
Nelson Marlborough,243,5,477,2022-03-09
West Coast,25,5,56,2022-03-09
Canterbury,1205,13,2442,2022-03-09
South Canterbury,144,5,211,2022-03-09
Southern,598,5,1171,2022-03-09
Overseas / Unknown,12,5,91,2022-03-09
Total,22393,703,49398,2022-03-09
