DHB,Dose1,Dose2,Population,Date
Northland,206,13,582,2022-03-20
Waitemata,2962,320,6497,2022-03-20
Auckland,3286,380,7257,2022-03-20
Counties Manukau,9507,892,20488,2022-03-20
Waikato,924,98,1950,2022-03-20
Lakes,183,24,405,2022-03-20
Bay of Plenty,289,29,696,2022-03-20
Tairawhiti,82,5,128,2022-03-20
Taranaki,106,17,260,2022-03-20
Hawkes Bay,429,25,994,2022-03-20
MidCentral,423,49,932,2022-03-20
Whanganui,98,6,277,2022-03-20
Capital and Coast,1410,139,2822,2022-03-20
Hutt Valley,827,59,1521,2022-03-20
Wairarapa,80,7,141,2022-03-20
Nelson Marlborough,257,20,477,2022-03-20
West Coast,25,5,56,2022-03-20
Canterbury,1235,70,2442,2022-03-20
South Canterbury,147,10,211,2022-03-20
Southern,625,33,1171,2022-03-20
Overseas / Unknown,12,5,91,2022-03-20
Total,23113,2196,49398,2022-03-20
