DHB,Dose1,Dose2,Population,Date
Northland,206,16,582,2022-03-22
Waitemata,2968,366,6497,2022-03-22
Auckland,3285,433,7257,2022-03-22
Counties Manukau,9509,982,20488,2022-03-22
Waikato,922,112,1950,2022-03-22
Lakes,184,25,405,2022-03-22
Bay of Plenty,290,34,696,2022-03-22
Tairawhiti,81,5,128,2022-03-22
Taranaki,106,20,260,2022-03-22
Hawkes Bay,429,26,994,2022-03-22
MidCentral,425,54,932,2022-03-22
Whanganui,100,6,277,2022-03-22
Capital and Coast,1409,159,2822,2022-03-22
Hutt Valley,827,70,1521,2022-03-22
Wairarapa,80,9,141,2022-03-22
Nelson Marlborough,258,26,477,2022-03-22
West Coast,25,5,56,2022-03-22
Canterbury,1240,100,2442,2022-03-22
South Canterbury,148,11,211,2022-03-22
Southern,629,41,1171,2022-03-22
Overseas / Unknown,13,5,91,2022-03-22
Total,23134,2497,49398,2022-03-22
