DHB,Dose1,Dose2,Population,Date
Northland,208,39,582,2022-04-01
Waitemata,2982,593,6497,2022-04-01
Auckland,3304,696,7257,2022-04-01
Counties Manukau,9556,1672,20488,2022-04-01
Waikato,930,178,1950,2022-04-01
Lakes,185,40,405,2022-04-01
Bay of Plenty,293,44,696,2022-04-01
Tairawhiti,83,11,128,2022-04-01
Taranaki,105,33,260,2022-04-01
Hawkes Bay,433,60,994,2022-04-01
MidCentral,431,95,932,2022-04-01
Whanganui,100,12,277,2022-04-01
Capital and Coast,1413,325,2822,2022-04-01
Hutt Valley,828,152,1521,2022-04-01
Wairarapa,80,12,141,2022-04-01
Nelson Marlborough,260,60,477,2022-04-01
West Coast,25,5,56,2022-04-01
Canterbury,1260,254,2442,2022-04-01
South Canterbury,153,13,211,2022-04-01
Southern,630,128,1171,2022-04-01
Overseas / Unknown,12,5,91,2022-04-01
Total,23271,4426,49398,2022-04-01
