DHB,Dose1,Dose2,Population,Date
Northland,179,5,582,2022-02-28
Waitemata,2788,45,6497,2022-02-28
Auckland,3088,97,7257,2022-02-28
Counties Manukau,8786,267,20488,2022-02-28
Waikato,866,11,1950,2022-02-28
Lakes,156,5,405,2022-02-28
Bay of Plenty,261,5,696,2022-02-28
Tairawhiti,75,5,128,2022-02-28
Taranaki,88,5,260,2022-02-28
Hawkes Bay,368,5,994,2022-02-28
MidCentral,369,5,932,2022-02-28
Whanganui,79,5,277,2022-02-28
Capital and Coast,1310,19,2822,2022-02-28
Hutt Valley,762,5,1521,2022-02-28
Wairarapa,72,5,141,2022-02-28
Nelson Marlborough,237,5,477,2022-02-28
West Coast,22,5,56,2022-02-28
Canterbury,1086,7,2442,2022-02-28
South Canterbury,130,5,211,2022-02-28
Southern,564,5,1171,2022-02-28
Overseas / Unknown,11,5,91,2022-02-28
Total,21297,469,49398,2022-02-28
