DHB,Dose1,Dose2,Population,Date
Northland,212,53,582,2022-04-19
Waitemata,2996,754,6497,2022-04-19
Auckland,3323,879,7257,2022-04-19
Counties Manukau,9611,2233,20488,2022-04-19
Waikato,931,213,1950,2022-04-19
Lakes,185,49,405,2022-04-19
Bay of Plenty,293,49,696,2022-04-19
Tairawhiti,85,15,128,2022-04-19
Taranaki,107,35,260,2022-04-19
Hawkes Bay,430,80,994,2022-04-19
MidCentral,432,119,932,2022-04-19
Whanganui,104,19,277,2022-04-19
Capital and Coast,1419,392,2822,2022-04-19
Hutt Valley,828,201,1521,2022-04-19
Wairarapa,81,16,141,2022-04-19
Nelson Marlborough,261,69,477,2022-04-19
West Coast,24,8,56,2022-04-19
Canterbury,1269,335,2442,2022-04-19
South Canterbury,153,22,211,2022-04-19
Southern,639,176,1171,2022-04-19
Overseas / Unknown,11,5,91,2022-04-19
Total,23394,5720,49398,2022-04-19
