DHB,Dose1,Dose2,Population,Date
Northland,213,60,582,2022-04-26
Waitemata,2998,795,6497,2022-04-26
Auckland,3329,939,7257,2022-04-26
Counties Manukau,9623,2413,20488,2022-04-26
Waikato,936,229,1950,2022-04-26
Lakes,185,52,405,2022-04-26
Bay of Plenty,293,56,696,2022-04-26
Tairawhiti,85,16,128,2022-04-26
Taranaki,107,37,260,2022-04-26
Hawkes Bay,431,84,994,2022-04-26
MidCentral,434,130,932,2022-04-26
Whanganui,105,20,277,2022-04-26
Capital and Coast,1423,414,2822,2022-04-26
Hutt Valley,829,219,1521,2022-04-26
Wairarapa,81,16,141,2022-04-26
Nelson Marlborough,261,72,477,2022-04-26
West Coast,24,8,56,2022-04-26
Canterbury,1278,351,2442,2022-04-26
South Canterbury,153,22,211,2022-04-26
Southern,638,185,1171,2022-04-26
Overseas / Unknown,11,5,91,2022-04-26
Total,23437,6121,49398,2022-04-26
