DHB,Dose1,Dose2,Population,Date
Northland,178,5,582,2022-02-27
Waitemata,2764,42,6497,2022-02-27
Auckland,3071,92,7257,2022-02-27
Counties Manukau,8732,253,20488,2022-02-27
Waikato,856,10,1950,2022-02-27
Lakes,156,5,405,2022-02-27
Bay of Plenty,257,5,696,2022-02-27
Tairawhiti,73,5,128,2022-02-27
Taranaki,86,5,260,2022-02-27
Hawkes Bay,362,5,994,2022-02-27
MidCentral,368,5,932,2022-02-27
Whanganui,77,5,277,2022-02-27
Capital and Coast,1301,18,2822,2022-02-27
Hutt Valley,754,5,1521,2022-02-27
Wairarapa,69,5,141,2022-02-27
Nelson Marlborough,236,5,477,2022-02-27
West Coast,22,5,56,2022-02-27
Canterbury,1073,6,2442,2022-02-27
South Canterbury,130,5,211,2022-02-27
Southern,553,5,1171,2022-02-27
Overseas / Unknown,11,5,91,2022-02-27
Total,21129,443,49398,2022-02-27
