DHB,Dose1,Dose2,Population,Date
Northland,210,45,582,2022-04-07
Waitemata,2988,680,6497,2022-04-07
Auckland,3311,781,7257,2022-04-07
Counties Manukau,9583,1940,20488,2022-04-07
Waikato,930,192,1950,2022-04-07
Lakes,185,45,405,2022-04-07
Bay of Plenty,292,48,696,2022-04-07
Tairawhiti,85,12,128,2022-04-07
Taranaki,106,34,260,2022-04-07
Hawkes Bay,432,70,994,2022-04-07
MidCentral,432,108,932,2022-04-07
Whanganui,102,17,277,2022-04-07
Capital and Coast,1417,362,2822,2022-04-07
Hutt Valley,830,170,1521,2022-04-07
Wairarapa,81,14,141,2022-04-07
Nelson Marlborough,261,62,477,2022-04-07
West Coast,24,6,56,2022-04-07
Canterbury,1263,291,2442,2022-04-07
South Canterbury,153,22,211,2022-04-07
Southern,636,160,1171,2022-04-07
Overseas / Unknown,12,5,91,2022-04-07
Total,23333,5063,49398,2022-04-07
