DHB,Dose1,Population,Date
Northland,154,582,2022-02-13
Waitemata,2404,6497,2022-02-13
Auckland,2642,7257,2022-02-13
Counties Manukau,7300,20488,2022-02-13
Waikato,708,1950,2022-02-13
Lakes,134,405,2022-02-13
Bay of Plenty,205,696,2022-02-13
Tairawhiti,61,128,2022-02-13
Taranaki,66,260,2022-02-13
Hawkes Bay,284,994,2022-02-13
MidCentral,286,932,2022-02-13
Whanganui,52,277,2022-02-13
Capital and Coast,1082,2822,2022-02-13
Hutt Valley,613,1521,2022-02-13
Wairarapa,45,141,2022-02-13
Nelson Marlborough,182,477,2022-02-13
West Coast,20,56,2022-02-13
Canterbury,841,2442,2022-02-13
South Canterbury,110,211,2022-02-13
Southern,466,1171,2022-02-13
Overseas / Unknown,9,91,2022-02-13
Total,17664,49398,2022-02-13
