DHB,Dose1,Dose2,Population,Date
Northland,206,21,582,2022-03-23
Waitemata,2969,408,6497,2022-03-23
Auckland,3285,458,7257,2022-03-23
Counties Manukau,9508,1056,20488,2022-03-23
Waikato,923,119,1950,2022-03-23
Lakes,184,28,405,2022-03-23
Bay of Plenty,291,36,696,2022-03-23
Tairawhiti,81,5,128,2022-03-23
Taranaki,106,22,260,2022-03-23
Hawkes Bay,430,32,994,2022-03-23
MidCentral,425,56,932,2022-03-23
Whanganui,101,9,277,2022-03-23
Capital and Coast,1409,177,2822,2022-03-23
Hutt Valley,827,76,1521,2022-03-23
Wairarapa,80,9,141,2022-03-23
Nelson Marlborough,258,32,477,2022-03-23
West Coast,25,5,56,2022-03-23
Canterbury,1240,111,2442,2022-03-23
South Canterbury,148,11,211,2022-03-23
Southern,631,54,1171,2022-03-23
Overseas / Unknown,13,5,91,2022-03-23
Total,23140,2724,49398,2022-03-23
