DHB,Dose1,Population,Date
Northland,154,582,2022-02-12
Waitemata,2397,6497,2022-02-12
Auckland,2631,7257,2022-02-12
Counties Manukau,7278,20488,2022-02-12
Waikato,707,1950,2022-02-12
Lakes,134,405,2022-02-12
Bay of Plenty,205,696,2022-02-12
Tairawhiti,59,128,2022-02-12
Taranaki,66,260,2022-02-12
Hawkes Bay,283,994,2022-02-12
MidCentral,284,932,2022-02-12
Whanganui,52,277,2022-02-12
Capital and Coast,1080,2822,2022-02-12
Hutt Valley,607,1521,2022-02-12
Wairarapa,45,141,2022-02-12
Nelson Marlborough,181,477,2022-02-12
West Coast,20,56,2022-02-12
Canterbury,832,2442,2022-02-12
South Canterbury,110,211,2022-02-12
Southern,458,1171,2022-02-12
Overseas / Unknown,9,91,2022-02-12
Total,17592,49398,2022-02-12
