DHB,Dose1,Population,Date
Northland,129,582,2022-02-06
Waitemata,2184,6497,2022-02-06
Auckland,2396,7257,2022-02-06
Counties Manukau,6395,20488,2022-02-06
Waikato,648,1950,2022-02-06
Lakes,129,405,2022-02-06
Bay of Plenty,184,696,2022-02-06
Tairawhiti,57,128,2022-02-06
Taranaki,63,260,2022-02-06
Hawkes Bay,237,994,2022-02-06
MidCentral,250,932,2022-02-06
Whanganui,42,277,2022-02-06
Capital and Coast,994,2822,2022-02-06
Hutt Valley,558,1521,2022-02-06
Wairarapa,35,141,2022-02-06
Nelson Marlborough,170,477,2022-02-06
West Coast,17,56,2022-02-06
Canterbury,736,2442,2022-02-06
South Canterbury,100,211,2022-02-06
Southern,406,1171,2022-02-06
Overseas / Unknown,8,91,2022-02-06
Total,15738,49398,2022-02-06
