Age,Date,DHB,Ethnicity,RateRatio
50 to 69,2021-08-03,Tairawhiti,Pacific Peoples,1.0209983798333906
50 to 69,2021-08-03,Taranaki,Māori,1.073136095639004
50 to 69,2021-08-03,Taranaki,Pacific Peoples,1.293871862650161
50 to 69,2021-08-03,Waikato,Māori,1.2000717340701403
50 to 69,2021-08-03,Waikato,Pacific Peoples,1.4582145019945119
50 to 69,2021-08-03,Wairarapa,Māori,1.075579357880923
50 to 69,2021-08-03,Wairarapa,Pacific Peoples,1.7218329549716247
50 to 69,2021-08-03,West Coast,Māori,0.8890654445607727
50 to 69,2021-08-03,West Coast,Pacific Peoples,1.1760230570568972
50 to 69,2021-08-03,Whanganui,Māori,0.8870314069398678
50 to 69,2021-08-03,Whanganui,Pacific Peoples,0.824680840092758
50 to 69,2021-08-10,Auckland Metro,Māori,1.047180124063358
50 to 69,2021-08-10,Auckland Metro,Pacific Peoples,1.118736125583888
50 to 69,2021-08-10,Bay of Plenty,Māori,0.9371918719130733
50 to 69,2021-08-10,Bay of Plenty,Pacific Peoples,0.962617504093045
50 to 69,2021-08-10,Canterbury,Māori,1.3837337929677878
50 to 69,2021-08-10,Canterbury,Pacific Peoples,1.511213365279842
50 to 69,2021-08-10,Wellington Metro,Māori,1.5110080823060041
50 to 69,2021-08-10,Wellington Metro,Pacific Peoples,1.5733926069970707
50 to 69,2021-08-10,Hawkes Bay,Māori,0.922912632428111
50 to 69,2021-08-10,Hawkes Bay,Pacific Peoples,1.2210360615836275
50 to 69,2021-08-10,Lakes,Māori,0.8011887838996894
50 to 69,2021-08-10,Lakes,Pacific Peoples,0.8971935665773827
50 to 69,2021-08-10,MidCentral,Māori,1.069011318055466
50 to 69,2021-08-10,MidCentral,Pacific Peoples,1.0302778592871813
50 to 69,2021-08-10,Nelson Marlborough,Māori,1.040225338760274
50 to 69,2021-08-10,Nelson Marlborough,Pacific Peoples,1.0177576643029373
50 to 69,2021-08-10,Northland,Māori,0.8495309795842627
50 to 69,2021-08-10,Northland,Pacific Peoples,0.9257505586340771
50 to 69,2021-08-10,South Canterbury,Māori,1.018345486956803
50 to 69,2021-08-10,South Canterbury,Pacific Peoples,0.6727962408778285
50 to 69,2021-08-10,Southern,Māori,0.9461158222533601
50 to 69,2021-08-10,Southern,Pacific Peoples,1.0586903944129602
50 to 69,2021-08-10,Tairawhiti,Māori,0.8735288156245793
50 to 69,2021-08-10,Tairawhiti,Pacific Peoples,0.9863985322304561
50 to 69,2021-08-10,Taranaki,Māori,1.0111444180669533
50 to 69,2021-08-10,Taranaki,Pacific Peoples,1.2191100198296032
50 to 69,2021-08-10,Waikato,Māori,1.0879702952663988
50 to 69,2021-08-10,Waikato,Pacific Peoples,1.3084795114811982
50 to 69,2021-08-10,Wairarapa,Māori,1.063819816969233
50 to 69,2021-08-10,Wairarapa,Pacific Peoples,1.506001226347631
50 to 69,2021-08-10,West Coast,Māori,0.8585548979387414
50 to 69,2021-08-10,West Coast,Pacific Peoples,1.255434048872688
50 to 69,2021-08-10,Whanganui,Māori,0.8908398344987845
50 to 69,2021-08-10,Whanganui,Pacific Peoples,0.8404756853996237
50 to 69,2021-08-17,Auckland Metro,Māori,1.0048853724575755
50 to 69,2021-08-17,Auckland Metro,Pacific Peoples,1.0740312881879939
50 to 69,2021-08-17,Bay of Plenty,Māori,0.9085002561137846
50 to 69,2021-08-17,Bay of Plenty,Pacific Peoples,0.9411984185350707
50 to 69,2021-08-17,Canterbury,Māori,1.2593476041183316
50 to 69,2021-08-17,Canterbury,Pacific Peoples,1.3643327737795423
50 to 69,2021-08-17,Wellington Metro,Māori,1.3068496458369594
50 to 69,2021-08-17,Wellington Metro,Pacific Peoples,1.3459981735027446
50 to 69,2021-08-17,Hawkes Bay,Māori,0.9152832855813642
50 to 69,2021-08-17,Hawkes Bay,Pacific Peoples,1.1805047934418604
50 to 69,2021-08-17,Lakes,Māori,0.8078027364562466
50 to 69,2021-08-17,Lakes,Pacific Peoples,0.8865827663089312
50 to 69,2021-08-17,MidCentral,Māori,1.0159888010498415
50 to 69,2021-08-17,MidCentral,Pacific Peoples,0.995124627449653
50 to 69,2021-08-17,Nelson Marlborough,Māori,1.003160849349443
50 to 69,2021-08-17,Nelson Marlborough,Pacific Peoples,1.0078888775304125
50 to 69,2021-08-17,Northland,Māori,0.8356331564670797
50 to 69,2021-08-17,Northland,Pacific Peoples,0.9232691702818348
50 to 69,2021-08-17,South Canterbury,Māori,0.9924986231751246
50 to 69,2021-08-17,South Canterbury,Pacific Peoples,0.6495482365029374
50 to 69,2021-08-17,Southern,Māori,0.9112523305210524
50 to 69,2021-08-17,Southern,Pacific Peoples,1.0209459279157476
50 to 69,2021-08-17,Tairawhiti,Māori,0.870702680961614
50 to 69,2021-08-17,Tairawhiti,Pacific Peoples,0.9779377968438793
50 to 69,2021-08-17,Taranaki,Māori,0.9918606677139961
50 to 69,2021-08-17,Taranaki,Pacific Peoples,1.1901828979550553
50 to 69,2021-08-17,Waikato,Māori,1.0034638816531496
50 to 69,2021-08-17,Waikato,Pacific Peoples,1.2010001077093606
50 to 69,2021-08-17,Wairarapa,Māori,1.0216952658488039
50 to 69,2021-08-17,Wairarapa,Pacific Peoples,1.323880325688644
50 to 69,2021-08-17,West Coast,Māori,0.8571525634291017
50 to 69,2021-08-17,West Coast,Pacific Peoples,1.177398849606458
50 to 69,2021-08-17,Whanganui,Māori,0.8835501056500136
50 to 69,2021-08-17,Whanganui,Pacific Peoples,0.8600536530572559
50 to 69,2021-08-24,Auckland Metro,Māori,0.9873879055052929
50 to 69,2021-08-24,Auckland Metro,Pacific Peoples,1.062369548616128
50 to 69,2021-08-24,Bay of Plenty,Māori,0.8827009082492888
50 to 69,2021-08-24,Bay of Plenty,Pacific Peoples,0.9312201811493457
50 to 69,2021-08-24,Canterbury,Māori,1.1566197403527079
50 to 69,2021-08-24,Canterbury,Pacific Peoples,1.2690799962387127
50 to 69,2021-08-24,Wellington Metro,Māori,1.194573295739216
50 to 69,2021-08-24,Wellington Metro,Pacific Peoples,1.221403046096248
50 to 69,2021-08-24,Hawkes Bay,Māori,0.9222141526588581
50 to 69,2021-08-24,Hawkes Bay,Pacific Peoples,1.1324315819451412
50 to 69,2021-08-24,Lakes,Māori,0.8069531402791406
50 to 69,2021-08-24,Lakes,Pacific Peoples,0.9237594344984862
50 to 69,2021-08-24,MidCentral,Māori,0.9846975878259081
50 to 69,2021-08-24,MidCentral,Pacific Peoples,0.9719756600552116
50 to 69,2021-08-24,Nelson Marlborough,Māori,1.002043392834018
50 to 69,2021-08-24,Nelson Marlborough,Pacific Peoples,1.0517408941573332
50 to 69,2021-08-24,Northland,Māori,0.8423977171340913
50 to 69,2021-08-24,Northland,Pacific Peoples,0.9235952672525682
50 to 69,2021-08-24,South Canterbury,Māori,0.9456056645580528
50 to 69,2021-08-24,South Canterbury,Pacific Peoples,0.7398361502621985
50 to 69,2021-08-24,Southern,Māori,0.9110253907708828
50 to 69,2021-08-24,Southern,Pacific Peoples,1.002768856389227
50 to 69,2021-08-24,Tairawhiti,Māori,0.8687462119192909
50 to 69,2021-08-24,Tairawhiti,Pacific Peoples,1.06673231269391
50 to 69,2021-08-24,Taranaki,Māori,0.9622391300816973
50 to 69,2021-08-24,Taranaki,Pacific Peoples,1.1304178494015096
50 to 69,2021-08-24,Waikato,Māori,0.9712575301676926
50 to 69,2021-08-24,Waikato,Pacific Peoples,1.1743279512899236
50 to 69,2021-08-24,Wairarapa,Māori,1.0061246529273484
50 to 69,2021-08-24,Wairarapa,Pacific Peoples,1.2701422951480303
50 to 69,2021-08-24,West Coast,Māori,0.8745608378903118
50 to 69,2021-08-24,West Coast,Pacific Peoples,1.1608959738794322
50 to 69,2021-08-24,Whanganui,Māori,0.8740355395710715
50 to 69,2021-08-24,Whanganui,Pacific Peoples,0.8782738667269323
70 to 89,2021-07-27,Auckland Metro,Māori,1.0033696274025703
70 to 89,2021-07-27,Auckland Metro,Pacific Peoples,0.8698386868034335
70 to 89,2021-07-27,Bay of Plenty,Māori,0.902208483026573
70 to 89,2021-07-27,Bay of Plenty,Pacific Peoples,0.7130308270883089
70 to 89,2021-07-27,Canterbury,Māori,1.535882055344497
70 to 89,2021-07-27,Canterbury,Pacific Peoples,1.3019480021018655
70 to 89,2021-07-27,Wellington Metro,Māori,1.926353022353035
70 to 89,2021-07-27,Wellington Metro,Pacific Peoples,1.7224273192700261
70 to 89,2021-07-27,Hawkes Bay,Māori,1.0814712495272591
70 to 89,2021-07-27,Hawkes Bay,Pacific Peoples,1.0747324506498925
70 to 89,2021-07-27,Lakes,Māori,0.8725669397988951
70 to 89,2021-07-27,Lakes,Pacific Peoples,0.7150192342523474
70 to 89,2021-07-27,MidCentral,Māori,1.0622286801775709
70 to 89,2021-07-27,MidCentral,Pacific Peoples,0.8833582345449201
70 to 89,2021-07-27,Nelson Marlborough,Māori,1.0782920319634999
70 to 89,2021-07-27,Nelson Marlborough,Pacific Peoples,0.8268790020556981
70 to 89,2021-07-27,Northland,Māori,0.9537669800224928
70 to 89,2021-07-27,Northland,Pacific Peoples,0.8952986835380411
70 to 89,2021-07-27,South Canterbury,Māori,1.1299041400935583
70 to 89,2021-07-27,South Canterbury,Pacific Peoples,1.5803956606327187
70 to 89,2021-07-27,Southern,Māori,0.9457989102576965
70 to 89,2021-07-27,Southern,Pacific Peoples,0.7788917020320641
70 to 89,2021-07-27,Tairawhiti,Māori,0.8256364008630127
70 to 89,2021-07-27,Tairawhiti,Pacific Peoples,0.6078238360858945
70 to 89,2021-07-27,Taranaki,Māori,1.3179011410058774
70 to 89,2021-07-27,Taranaki,Pacific Peoples,0.6564153783197043
70 to 89,2021-07-27,Waikato,Māori,1.6181733408139185
70 to 89,2021-07-27,Waikato,Pacific Peoples,1.4583038064217886
70 to 89,2021-07-27,Wairarapa,Māori,0.8934486142128162
70 to 89,2021-07-27,Wairarapa,Pacific Peoples,1.1279052395688827
70 to 89,2021-07-27,West Coast,Māori,0.8928144723597365
70 to 89,2021-07-27,West Coast,Pacific Peoples,NA
70 to 89,2021-07-27,Whanganui,Māori,0.8380587115185988
70 to 89,2021-07-27,Whanganui,Pacific Peoples,0.8755134791192954
70 to 89,2021-08-03,Auckland Metro,Māori,0.9724856936534744
70 to 89,2021-08-03,Auckland Metro,Pacific Peoples,0.8506947374900774
70 to 89,2021-08-03,Bay of Plenty,Māori,0.9110117802340019
70 to 89,2021-08-03,Bay of Plenty,Pacific Peoples,0.7175110365455825
70 to 89,2021-08-03,Canterbury,Māori,1.3883017799871462
70 to 89,2021-08-03,Canterbury,Pacific Peoples,1.206480154368976
70 to 89,2021-08-03,Wellington Metro,Māori,1.6552142821371134
70 to 89,2021-08-03,Wellington Metro,Pacific Peoples,1.5066188030415522
70 to 89,2021-08-03,Hawkes Bay,Māori,1.0345073901809587
70 to 89,2021-08-03,Hawkes Bay,Pacific Peoples,0.9716504165367109
70 to 89,2021-08-03,Lakes,Māori,0.8934168240746745
70 to 89,2021-08-03,Lakes,Pacific Peoples,0.7685052218615304
70 to 89,2021-08-03,MidCentral,Māori,1.0363352326377908
70 to 89,2021-08-03,MidCentral,Pacific Peoples,0.8621196685296696
70 to 89,2021-08-03,Nelson Marlborough,Māori,1.048177110654292
70 to 89,2021-08-03,Nelson Marlborough,Pacific Peoples,0.8158303615850929
70 to 89,2021-08-03,Northland,Māori,0.9258714426942874
70 to 89,2021-08-03,Northland,Pacific Peoples,0.9022270672392723
70 to 89,2021-08-03,South Canterbury,Māori,1.0917875753828525
70 to 89,2021-08-03,South Canterbury,Pacific Peoples,1.4983042257913615
70 to 89,2021-08-03,Southern,Māori,0.9443404030097549
70 to 89,2021-08-03,Southern,Pacific Peoples,0.8017145616279846
70 to 89,2021-08-03,Tairawhiti,Māori,0.8231583604284326
70 to 89,2021-08-03,Tairawhiti,Pacific Peoples,0.8027773391330147
70 to 89,2021-08-03,Taranaki,Māori,1.224073031374741
70 to 89,2021-08-03,Taranaki,Pacific Peoples,0.7641461712150885
70 to 89,2021-08-03,Waikato,Māori,1.4280022191176676
70 to 89,2021-08-03,Waikato,Pacific Peoples,1.2970751198575157
70 to 89,2021-08-03,Wairarapa,Māori,0.904074593750216
70 to 89,2021-08-03,Wairarapa,Pacific Peoples,1.14276072314782
70 to 89,2021-08-03,West Coast,Māori,0.9226830940376228
70 to 89,2021-08-03,West Coast,Pacific Peoples,NA
70 to 89,2021-08-03,Whanganui,Māori,0.8485035248036848
70 to 89,2021-08-03,Whanganui,Pacific Peoples,0.8341556517895117
70 to 89,2021-08-10,Auckland Metro,Māori,0.9531481370924579
70 to 89,2021-08-10,Auckland Metro,Pacific Peoples,0.8427815295245867
70 to 89,2021-08-10,Bay of Plenty,Māori,0.9121416073229208
70 to 89,2021-08-10,Bay of Plenty,Pacific Peoples,0.7464959600480553
70 to 89,2021-08-10,Canterbury,Māori,1.2733670335144989
70 to 89,2021-08-10,Canterbury,Pacific Peoples,1.1033120941180643
70 to 89,2021-08-10,Wellington Metro,Māori,1.4760448609071122
70 to 89,2021-08-10,Wellington Metro,Pacific Peoples,1.346108987451868
70 to 89,2021-08-10,Hawkes Bay,Māori,1.0194052258449389
70 to 89,2021-08-10,Hawkes Bay,Pacific Peoples,0.9356867652153013
70 to 89,2021-08-10,Lakes,Māori,0.9132987694079076
70 to 89,2021-08-10,Lakes,Pacific Peoples,0.784134490172147
70 to 89,2021-08-10,MidCentral,Māori,1.0339267960632745
70 to 89,2021-08-10,MidCentral,Pacific Peoples,0.8961079326156578
70 to 89,2021-08-10,Nelson Marlborough,Māori,1.0355362984478291
70 to 89,2021-08-10,Nelson Marlborough,Pacific Peoples,0.8449976195334284
70 to 89,2021-08-10,Northland,Māori,0.9050421290175987
70 to 89,2021-08-10,Northland,Pacific Peoples,0.8689566560609276
70 to 89,2021-08-10,South Canterbury,Māori,1.0461340048891798
70 to 89,2021-08-10,South Canterbury,Pacific Peoples,1.4397916970403848
70 to 89,2021-08-10,Southern,Māori,0.9474972540016986
70 to 89,2021-08-10,Southern,Pacific Peoples,0.8348060035827465
70 to 89,2021-08-10,Tairawhiti,Māori,0.8529419199962788
70 to 89,2021-08-10,Tairawhiti,Pacific Peoples,0.8114506432420646
70 to 89,2021-08-10,Taranaki,Māori,1.129232478156669
70 to 89,2021-08-10,Taranaki,Pacific Peoples,0.874220023739914
70 to 89,2021-08-10,Waikato,Māori,1.2946845215307337
70 to 89,2021-08-10,Waikato,Pacific Peoples,1.1827424540372227
70 to 89,2021-08-10,Wairarapa,Māori,0.898379688746534
70 to 89,2021-08-10,Wairarapa,Pacific Peoples,1.0893475528161876
70 to 89,2021-08-10,West Coast,Māori,0.9236148466917699
70 to 89,2021-08-10,West Coast,Pacific Peoples,NA
70 to 89,2021-08-10,Whanganui,Māori,0.8816410609208156
70 to 89,2021-08-10,Whanganui,Pacific Peoples,0.8332274041405395
70 to 89,2021-08-17,Auckland Metro,Māori,0.946671341906696
70 to 89,2021-08-17,Auckland Metro,Pacific Peoples,0.8444533333820972
70 to 89,2021-08-17,Bay of Plenty,Māori,0.9002910409867982
70 to 89,2021-08-17,Bay of Plenty,Pacific Peoples,0.7528487041982066
70 to 89,2021-08-17,Canterbury,Māori,1.1740449387090024
70 to 89,2021-08-17,Canterbury,Pacific Peoples,1.032433141491669
70 to 89,2021-08-17,Wellington Metro,Māori,1.3187598080540959
70 to 89,2021-08-17,Wellington Metro,Pacific Peoples,1.1932140123804529
70 to 89,2021-08-17,Hawkes Bay,Māori,0.9878118068411905
70 to 89,2021-08-17,Hawkes Bay,Pacific Peoples,0.8805662161518018
70 to 89,2021-08-17,Lakes,Māori,0.9250483611963246
70 to 89,2021-08-17,Lakes,Pacific Peoples,0.7879762481533843
70 to 89,2021-08-17,MidCentral,Māori,1.0284451539931534
70 to 89,2021-08-17,MidCentral,Pacific Peoples,0.8976578849736918
70 to 89,2021-08-17,Nelson Marlborough,Māori,1.0151453172217488
70 to 89,2021-08-17,Nelson Marlborough,Pacific Peoples,0.8316486173391239
70 to 89,2021-08-17,Northland,Māori,0.8971451290384765
70 to 89,2021-08-17,Northland,Pacific Peoples,0.8745610188693429
70 to 89,2021-08-17,South Canterbury,Māori,1.0153678582674128
70 to 89,2021-08-17,South Canterbury,Pacific Peoples,1.364400559546836
70 to 89,2021-08-17,Southern,Māori,0.9522795628357088
70 to 89,2021-08-17,Southern,Pacific Peoples,0.8404133292128482
70 to 89,2021-08-17,Tairawhiti,Māori,0.8618790434989417
70 to 89,2021-08-17,Tairawhiti,Pacific Peoples,0.7840498090428536
70 to 89,2021-08-17,Taranaki,Māori,1.0750458402045588
70 to 89,2021-08-17,Taranaki,Pacific Peoples,0.870133605250085
70 to 89,2021-08-17,Waikato,Māori,1.1887685748946193
70 to 89,2021-08-17,Waikato,Pacific Peoples,1.084296633692793
70 to 89,2021-08-17,Wairarapa,Māori,0.9004623172912726
70 to 89,2021-08-17,Wairarapa,Pacific Peoples,1.0433452003365915
70 to 89,2021-08-17,West Coast,Māori,0.9128427253076327
70 to 89,2021-08-17,West Coast,Pacific Peoples,NA
70 to 89,2021-08-17,Whanganui,Māori,0.8821508922188784
70 to 89,2021-08-17,Whanganui,Pacific Peoples,0.8275592992246096
70 to 89,2021-08-24,Auckland Metro,Māori,0.9516846144016774
70 to 89,2021-08-24,Auckland Metro,Pacific Peoples,0.8520107453678253
70 to 89,2021-08-24,Bay of Plenty,Māori,0.9051710485506849
70 to 89,2021-08-24,Bay of Plenty,Pacific Peoples,0.7714419058529031
70 to 89,2021-08-24,Canterbury,Māori,1.1180276653513095
70 to 89,2021-08-24,Canterbury,Pacific Peoples,1.0005601082101174
70 to 89,2021-08-24,Wellington Metro,Māori,1.22300858061207
70 to 89,2021-08-24,Wellington Metro,Pacific Peoples,1.1195868645646392
70 to 89,2021-08-24,Hawkes Bay,Māori,0.9781310639864531
70 to 89,2021-08-24,Hawkes Bay,Pacific Peoples,0.8582946630789433
70 to 89,2021-08-24,Lakes,Māori,0.9359091087583177
70 to 89,2021-08-24,Lakes,Pacific Peoples,0.8450778173267817
70 to 89,2021-08-24,MidCentral,Māori,1.0211649093726602
70 to 89,2021-08-24,MidCentral,Pacific Peoples,0.9010647966146538
70 to 89,2021-08-24,Nelson Marlborough,Māori,1.0134956247626188
70 to 89,2021-08-24,Nelson Marlborough,Pacific Peoples,0.8284376989658081
70 to 89,2021-08-24,Northland,Māori,0.8957735201766266
70 to 89,2021-08-24,Northland,Pacific Peoples,0.8778376995789152
70 to 89,2021-08-24,South Canterbury,Māori,0.9969817235859125
70 to 89,2021-08-24,South Canterbury,Pacific Peoples,1.3530466248665955
70 to 89,2021-08-24,Southern,Māori,0.9525020488606564
70 to 89,2021-08-24,Southern,Pacific Peoples,0.8403780932340961
70 to 89,2021-08-24,Tairawhiti,Māori,0.8801268678341801
70 to 89,2021-08-24,Tairawhiti,Pacific Peoples,0.9220825296365319
70 to 89,2021-08-24,Taranaki,Māori,1.0507828325023225
70 to 89,2021-08-24,Taranaki,Pacific Peoples,0.7134677593840536
70 to 89,2021-08-24,Waikato,Māori,1.136292861007886
70 to 89,2021-08-24,Waikato,Pacific Peoples,1.044245556499751
70 to 89,2021-08-24,Wairarapa,Māori,0.9112216049798516
70 to 89,2021-08-24,Wairarapa,Pacific Peoples,1.0235876854297907
70 to 89,2021-08-24,West Coast,Māori,0.9378445354776715
70 to 89,2021-08-24,West Coast,Pacific Peoples,NA
70 to 89,2021-08-24,Whanganui,Māori,0.8855649466192171
70 to 89,2021-08-24,Whanganui,Pacific Peoples,0.8728575414540816
10 to 29,2021-05-11,New Zealand,Māori,0.44735074569221556
10 to 29,2021-05-11,New Zealand,Pacific Peoples,0.6166233341627371
10 to 29,2021-05-18,New Zealand,Māori,0.4407899423830044
10 to 29,2021-05-18,New Zealand,Pacific Peoples,0.6199352703503557
10 to 29,2021-05-25,New Zealand,Māori,0.44663025427214564
10 to 29,2021-05-25,New Zealand,Pacific Peoples,0.6313832820401517
10 to 29,2021-06-01,New Zealand,Māori,0.4502797501436821
10 to 29,2021-06-01,New Zealand,Pacific Peoples,0.6617714909302568
10 to 29,2021-06-08,New Zealand,Māori,0.4480436435345152
10 to 29,2021-06-08,New Zealand,Pacific Peoples,0.6843971699386071
10 to 29,2021-06-15,New Zealand,Māori,0.45206961892998976
10 to 29,2021-06-15,New Zealand,Pacific Peoples,0.7073484270695795
10 to 29,2021-06-22,New Zealand,Māori,0.4581713633912896
10 to 29,2021-06-22,New Zealand,Pacific Peoples,0.7364471913331639
10 to 29,2021-06-29,New Zealand,Māori,0.46468076893612975
10 to 29,2021-06-29,New Zealand,Pacific Peoples,0.7624824734743435
10 to 29,2021-07-06,New Zealand,Māori,0.47240332035492477
10 to 29,2021-07-06,New Zealand,Pacific Peoples,0.7859780102762192
10 to 29,2021-07-13,New Zealand,Māori,0.47848581596281026
10 to 29,2021-07-13,New Zealand,Pacific Peoples,0.8125879475661313
10 to 29,2021-07-20,New Zealand,Māori,0.48255964641366844
10 to 29,2021-07-20,New Zealand,Pacific Peoples,0.8421440610242183
10 to 29,2021-07-27,New Zealand,Māori,0.49441464084485026
10 to 29,2021-07-27,New Zealand,Pacific Peoples,0.8788022960571448
10 to 29,2021-08-03,New Zealand,Māori,0.5120746319352737
10 to 29,2021-08-03,New Zealand,Pacific Peoples,0.9273766917250571
10 to 29,2021-08-10,New Zealand,Māori,0.5111419926850113
10 to 29,2021-08-10,New Zealand,Pacific Peoples,0.9316245753480328
10 to 29,2021-08-17,New Zealand,Māori,0.5163721387293712
10 to 29,2021-08-17,New Zealand,Pacific Peoples,0.9306561225715251
10 to 29,2021-08-24,New Zealand,Māori,0.5456838114801974
10 to 29,2021-08-24,New Zealand,Pacific Peoples,0.9116567419828858
30 to 49,2021-05-11,New Zealand,Māori,0.5731419948188473
30 to 49,2021-05-11,New Zealand,Pacific Peoples,0.9227652094388897
30 to 49,2021-05-18,New Zealand,Māori,0.5724769467967172
30 to 49,2021-05-18,New Zealand,Pacific Peoples,0.9237199903573837
30 to 49,2021-05-25,New Zealand,Māori,0.5840842979614795
30 to 49,2021-05-25,New Zealand,Pacific Peoples,0.9398342703238384
30 to 49,2021-06-01,New Zealand,Māori,0.6024264344619038
30 to 49,2021-06-01,New Zealand,Pacific Peoples,0.9617730680657282
30 to 49,2021-06-08,New Zealand,Māori,0.6053985566093982
30 to 49,2021-06-08,New Zealand,Pacific Peoples,0.982195332732188
30 to 49,2021-06-15,New Zealand,Māori,0.6126208022346369
30 to 49,2021-06-15,New Zealand,Pacific Peoples,1.0108292760311666
30 to 49,2021-06-22,New Zealand,Māori,0.6235580205452222
30 to 49,2021-06-22,New Zealand,Pacific Peoples,1.0457053760647017
30 to 49,2021-06-29,New Zealand,Māori,0.6328584661840945
30 to 49,2021-06-29,New Zealand,Pacific Peoples,1.0708074996156127
30 to 49,2021-07-06,New Zealand,Māori,0.6442699298771555
30 to 49,2021-07-06,New Zealand,Pacific Peoples,1.0956074102216782
30 to 49,2021-07-13,New Zealand,Māori,0.654476749179835
30 to 49,2021-07-13,New Zealand,Pacific Peoples,1.1214913765269767
30 to 49,2021-07-20,New Zealand,Māori,0.6607305567729566
30 to 49,2021-07-20,New Zealand,Pacific Peoples,1.1634746319454385
30 to 49,2021-07-27,New Zealand,Māori,0.6868371635433225
30 to 49,2021-07-27,New Zealand,Pacific Peoples,1.2169300300088735
30 to 49,2021-08-03,New Zealand,Māori,0.6893053563151909
30 to 49,2021-08-03,New Zealand,Pacific Peoples,1.227247838747393
30 to 49,2021-08-10,New Zealand,Māori,0.6852118410817813
30 to 49,2021-08-10,New Zealand,Pacific Peoples,1.217884379507709
30 to 49,2021-08-17,New Zealand,Māori,0.6851828864364335
30 to 49,2021-08-17,New Zealand,Pacific Peoples,1.2055848126584026
30 to 49,2021-08-24,New Zealand,Māori,0.6955374970061882
30 to 49,2021-08-24,New Zealand,Pacific Peoples,1.1703458871468215
50 to 69,2021-05-11,New Zealand,Māori,0.9321543420617809
50 to 69,2021-05-11,New Zealand,Pacific Peoples,1.1968463924863284
50 to 69,2021-05-18,New Zealand,Māori,0.9754934099327559
50 to 69,2021-05-18,New Zealand,Pacific Peoples,1.2650710924129553
50 to 69,2021-05-25,New Zealand,Māori,1.0349001096609576
50 to 69,2021-05-25,New Zealand,Pacific Peoples,1.3460628568469235
50 to 69,2021-06-01,New Zealand,Māori,1.088126434408948
50 to 69,2021-06-01,New Zealand,Pacific Peoples,1.3800304788453532
50 to 69,2021-06-08,New Zealand,Māori,1.1139994263296953
50 to 69,2021-06-08,New Zealand,Pacific Peoples,1.4463492800882753
50 to 69,2021-06-15,New Zealand,Māori,1.1560192562116585
50 to 69,2021-06-15,New Zealand,Pacific Peoples,1.5117768478164468
50 to 69,2021-06-22,New Zealand,Māori,1.178443254486724
50 to 69,2021-06-22,New Zealand,Pacific Peoples,1.5348227111826622
50 to 69,2021-06-29,New Zealand,Māori,1.187377706034014
50 to 69,2021-06-29,New Zealand,Pacific Peoples,1.5502065086749217
50 to 69,2021-07-06,New Zealand,Māori,1.2019412149495283
50 to 69,2021-07-06,New Zealand,Pacific Peoples,1.5534475316884204
50 to 69,2021-07-13,New Zealand,Māori,1.2001706399955534
50 to 69,2021-07-13,New Zealand,Pacific Peoples,1.5511915047654004
50 to 69,2021-07-20,New Zealand,Māori,1.1787711342544316
50 to 69,2021-07-20,New Zealand,Pacific Peoples,1.5095655700038362
50 to 69,2021-07-27,New Zealand,Māori,1.152963310371892
50 to 69,2021-07-27,New Zealand,Pacific Peoples,1.449133924006516
50 to 69,2021-08-03,New Zealand,Māori,1.0937894259568992
50 to 69,2021-08-03,New Zealand,Pacific Peoples,1.3495420038649908
50 to 69,2021-08-10,New Zealand,Māori,1.0365392014319266
50 to 69,2021-08-10,New Zealand,Pacific Peoples,1.251840624435027
50 to 69,2021-08-17,New Zealand,Māori,0.9883966043533615
50 to 69,2021-08-17,New Zealand,Pacific Peoples,1.1696930700486359
50 to 69,2021-08-24,New Zealand,Māori,0.9663178422782414
50 to 69,2021-08-24,New Zealand,Pacific Peoples,1.1235383360726594
70 to 89,2021-05-11,New Zealand,Māori,1.6647951256121212
70 to 89,2021-05-11,New Zealand,Pacific Peoples,1.7367161990793363
70 to 89,2021-05-18,New Zealand,Māori,1.5863855319981661
70 to 89,2021-05-18,New Zealand,Pacific Peoples,1.654773795581851
70 to 89,2021-05-25,New Zealand,Māori,1.5666049910749256
70 to 89,2021-05-25,New Zealand,Pacific Peoples,1.6125454502563723
70 to 89,2021-06-01,New Zealand,Māori,1.4890594794552334
70 to 89,2021-06-01,New Zealand,Pacific Peoples,1.4622774409496855
70 to 89,2021-06-08,New Zealand,Māori,1.3895494297034703
70 to 89,2021-06-08,New Zealand,Pacific Peoples,1.347439787899361
70 to 89,2021-06-15,New Zealand,Māori,1.3423041534161564
70 to 89,2021-06-15,New Zealand,Pacific Peoples,1.3091357148426332
70 to 89,2021-06-22,New Zealand,Māori,1.2970761070520358
70 to 89,2021-06-22,New Zealand,Pacific Peoples,1.255666752046318
70 to 89,2021-06-29,New Zealand,Māori,1.2505512141621504
70 to 89,2021-06-29,New Zealand,Pacific Peoples,1.200822884023104
70 to 89,2021-07-06,New Zealand,Māori,1.2228603547593304
70 to 89,2021-07-06,New Zealand,Pacific Peoples,1.1638846900551258
70 to 89,2021-07-13,New Zealand,Māori,1.1866888172338486
70 to 89,2021-07-13,New Zealand,Pacific Peoples,1.1242030638355123
70 to 89,2021-07-20,New Zealand,Māori,1.1506078210015493
70 to 89,2021-07-20,New Zealand,Pacific Peoples,1.0814342183165564
70 to 89,2021-07-27,New Zealand,Māori,1.1076380943954973
