Age,Date,DHB,Ethnicity,RateRatio
10 to 29,2021-08-10,Lakes,Pacific Peoples,1.0323703946983638
10 to 29,2021-08-10,MidCentral,Māori,0.6337188555268443
10 to 29,2021-08-10,MidCentral,Pacific Peoples,1.0026938967741263
10 to 29,2021-08-10,Nelson Marlborough,Māori,0.7015333940107286
10 to 29,2021-08-10,Nelson Marlborough,Pacific Peoples,6.847966515590314
10 to 29,2021-08-10,Northland,Māori,0.4795653804962759
10 to 29,2021-08-10,Northland,Pacific Peoples,0.7752540600132861
10 to 29,2021-08-10,South Canterbury,Māori,0.8412501605376942
10 to 29,2021-08-10,South Canterbury,Pacific Peoples,1.7580209388720025
10 to 29,2021-08-10,Southern,Māori,0.7417123276636404
10 to 29,2021-08-10,Southern,Pacific Peoples,1.328687318787377
10 to 29,2021-08-10,Tairawhiti,Māori,0.5391844702906321
10 to 29,2021-08-10,Tairawhiti,Pacific Peoples,1.6531813865147198
10 to 29,2021-08-10,Taranaki,Māori,0.48199494755201744
10 to 29,2021-08-10,Taranaki,Pacific Peoples,1.1878131511449457
10 to 29,2021-08-10,Waikato,Māori,0.49297271339779775
10 to 29,2021-08-10,Waikato,Pacific Peoples,0.9080859950726639
10 to 29,2021-08-10,Wairarapa,Māori,0.7708860759493671
10 to 29,2021-08-10,Wairarapa,Pacific Peoples,2.186536107711138
10 to 29,2021-08-10,West Coast,Māori,0.6801263090488895
10 to 29,2021-08-10,West Coast,Pacific Peoples,2.621531631520533
10 to 29,2021-08-10,Whanganui,Māori,0.41273947980196696
10 to 29,2021-08-10,Whanganui,Pacific Peoples,0.6687900956668542
10 to 29,2021-08-17,Auckland Metro,Māori,0.4945172575241585
10 to 29,2021-08-17,Auckland Metro,Pacific Peoples,0.6387926237862103
10 to 29,2021-08-17,Bay of Plenty,Māori,0.5438078356544933
10 to 29,2021-08-17,Bay of Plenty,Pacific Peoples,3.106808547916714
10 to 29,2021-08-17,Canterbury,Māori,0.8250092137022303
10 to 29,2021-08-17,Canterbury,Pacific Peoples,1.1423972479088005
10 to 29,2021-08-17,Wellington Metro,Māori,0.7423638142655323
10 to 29,2021-08-17,Wellington Metro,Pacific Peoples,1.0233590001832484
10 to 29,2021-08-17,Hawkes Bay,Māori,0.573345469918499
10 to 29,2021-08-17,Hawkes Bay,Pacific Peoples,3.231537325788205
10 to 29,2021-08-17,Lakes,Māori,0.4112134727401233
10 to 29,2021-08-17,Lakes,Pacific Peoples,1.0005587993796186
10 to 29,2021-08-17,MidCentral,Māori,0.614788315347146
10 to 29,2021-08-17,MidCentral,Pacific Peoples,0.9546471449038851
10 to 29,2021-08-17,Nelson Marlborough,Māori,0.6765148312151883
10 to 29,2021-08-17,Nelson Marlborough,Pacific Peoples,6.545140929814024
10 to 29,2021-08-17,Northland,Māori,0.46842044815698997
10 to 29,2021-08-17,Northland,Pacific Peoples,0.7489399105161294
10 to 29,2021-08-17,South Canterbury,Māori,0.9387996891172066
10 to 29,2021-08-17,South Canterbury,Pacific Peoples,1.1602755663024384
10 to 29,2021-08-17,Southern,Māori,0.7617505775914477
10 to 29,2021-08-17,Southern,Pacific Peoples,1.2829564854345687
10 to 29,2021-08-17,Tairawhiti,Māori,0.5503993548882574
10 to 29,2021-08-17,Tairawhiti,Pacific Peoples,1.5268998673740053
10 to 29,2021-08-17,Taranaki,Māori,0.4738368666592419
10 to 29,2021-08-17,Taranaki,Pacific Peoples,1.2404454267532938
10 to 29,2021-08-17,Waikato,Māori,0.4737600372492865
10 to 29,2021-08-17,Waikato,Pacific Peoples,0.882142258066937
10 to 29,2021-08-17,Wairarapa,Māori,0.7388927803071996
10 to 29,2021-08-17,Wairarapa,Pacific Peoples,1.9161899313501143
10 to 29,2021-08-17,West Coast,Māori,0.6840889975084506
10 to 29,2021-08-17,West Coast,Pacific Peoples,2.420081967213115
10 to 29,2021-08-17,Whanganui,Māori,0.45623950276133335
10 to 29,2021-08-17,Whanganui,Pacific Peoples,0.713952125061065
10 to 29,2021-08-24,Auckland Metro,Māori,0.5236349085067713
10 to 29,2021-08-24,Auckland Metro,Pacific Peoples,0.6735842956249288
10 to 29,2021-08-24,Bay of Plenty,Māori,0.5482895415074159
10 to 29,2021-08-24,Bay of Plenty,Pacific Peoples,2.7863020835219268
10 to 29,2021-08-24,Canterbury,Māori,0.802316461285046
10 to 29,2021-08-24,Canterbury,Pacific Peoples,1.1904717542308025
10 to 29,2021-08-24,Wellington Metro,Māori,0.727465886164422
10 to 29,2021-08-24,Wellington Metro,Pacific Peoples,0.9092742380818122
10 to 29,2021-08-24,Hawkes Bay,Māori,0.6000973441923881
10 to 29,2021-08-24,Hawkes Bay,Pacific Peoples,2.3621089070745924
10 to 29,2021-08-24,Lakes,Māori,0.42305849579557414
10 to 29,2021-08-24,Lakes,Pacific Peoples,1.2418138233375682
10 to 29,2021-08-24,MidCentral,Māori,0.6421904575520608
10 to 29,2021-08-24,MidCentral,Pacific Peoples,0.9650944936565462
10 to 29,2021-08-24,Nelson Marlborough,Māori,0.693954818789248
10 to 29,2021-08-24,Nelson Marlborough,Pacific Peoples,4.573289254884294
10 to 29,2021-08-24,Northland,Māori,0.4814596907394084
10 to 29,2021-08-24,Northland,Pacific Peoples,0.7254346462470707
10 to 29,2021-08-24,South Canterbury,Māori,0.8263481510179086
10 to 29,2021-08-24,South Canterbury,Pacific Peoples,1.0870166784473554
10 to 29,2021-08-24,Southern,Māori,0.7668959060080308
10 to 29,2021-08-24,Southern,Pacific Peoples,1.1862713202098205
10 to 29,2021-08-24,Tairawhiti,Māori,0.5394854727677667
10 to 29,2021-08-24,Tairawhiti,Pacific Peoples,1.22718006993007
