DHB,Age,Ethnicity,Method,Population
Lakes,90+,European or Other,HSU,598
Lakes,90+,European or Other,StatsNZ,590
Lakes,90+,Maori,HSU,43
Lakes,90+,Maori,StatsNZ,40
MidCentral,20-24,Asian,HSU,687
MidCentral,20-24,Asian,StatsNZ,1290
MidCentral,20-24,European or Other,HSU,7594
MidCentral,20-24,European or Other,StatsNZ,7490
MidCentral,20-24,Maori,HSU,2796
MidCentral,20-24,Maori,StatsNZ,3420
MidCentral,20-24,Pacific Peoples,HSU,503
MidCentral,20-24,Pacific Peoples,StatsNZ,570
MidCentral,25-29,Asian,HSU,1113
MidCentral,25-29,Asian,StatsNZ,1450
MidCentral,25-29,European or Other,HSU,7640
MidCentral,25-29,European or Other,StatsNZ,7310
MidCentral,25-29,Maori,HSU,2534
MidCentral,25-29,Maori,StatsNZ,3160
MidCentral,25-29,Pacific Peoples,HSU,493
MidCentral,25-29,Pacific Peoples,StatsNZ,520
MidCentral,30-34,Asian,HSU,1423
MidCentral,30-34,Asian,StatsNZ,1610
MidCentral,30-34,European or Other,HSU,7176
MidCentral,30-34,European or Other,StatsNZ,7120
MidCentral,30-34,Maori,HSU,2172
MidCentral,30-34,Maori,StatsNZ,2760
MidCentral,30-34,Pacific Peoples,HSU,443
MidCentral,30-34,Pacific Peoples,StatsNZ,470
MidCentral,35-39,Asian,HSU,1284
MidCentral,35-39,Asian,StatsNZ,1480
MidCentral,35-39,European or Other,HSU,6658
MidCentral,35-39,European or Other,StatsNZ,6650
MidCentral,35-39,Maori,HSU,1722
MidCentral,35-39,Maori,StatsNZ,2210
MidCentral,35-39,Pacific Peoples,HSU,419
MidCentral,35-39,Pacific Peoples,StatsNZ,380
MidCentral,40-44,Asian,HSU,985
MidCentral,40-44,Asian,StatsNZ,1080
MidCentral,40-44,European or Other,HSU,6691
MidCentral,40-44,European or Other,StatsNZ,6740
MidCentral,40-44,Maori,HSU,1600
MidCentral,40-44,Maori,StatsNZ,2070
MidCentral,40-44,Pacific Peoples,HSU,328
MidCentral,40-44,Pacific Peoples,StatsNZ,320
MidCentral,45-49,Asian,HSU,752
MidCentral,45-49,Asian,StatsNZ,860
MidCentral,45-49,European or Other,HSU,8021
MidCentral,45-49,European or Other,StatsNZ,8010
MidCentral,45-49,Maori,HSU,1734
MidCentral,45-49,Maori,StatsNZ,2110
MidCentral,45-49,Pacific Peoples,HSU,299
MidCentral,45-49,Pacific Peoples,StatsNZ,300
MidCentral,50-54,Asian,HSU,578
MidCentral,50-54,Asian,StatsNZ,680
MidCentral,50-54,European or Other,HSU,8623
MidCentral,50-54,European or Other,StatsNZ,8720
MidCentral,50-54,Maori,HSU,1634
MidCentral,50-54,Maori,StatsNZ,2000
MidCentral,50-54,Pacific Peoples,HSU,284
MidCentral,50-54,Pacific Peoples,StatsNZ,300
MidCentral,55-59,Asian,HSU,549
MidCentral,55-59,Asian,StatsNZ,650
MidCentral,55-59,European or Other,HSU,9534
MidCentral,55-59,European or Other,StatsNZ,9540
MidCentral,55-59,Maori,HSU,1625
MidCentral,55-59,Maori,StatsNZ,1830
MidCentral,55-59,Pacific Peoples,HSU,248
MidCentral,55-59,Pacific Peoples,StatsNZ,280
MidCentral,60-64,Asian,HSU,492
MidCentral,60-64,Asian,StatsNZ,570
MidCentral,60-64,European or Other,HSU,9111
MidCentral,60-64,European or Other,StatsNZ,9390
MidCentral,60-64,Maori,HSU,1249
MidCentral,60-64,Maori,StatsNZ,1420
MidCentral,60-64,Pacific Peoples,HSU,180
MidCentral,60-64,Pacific Peoples,StatsNZ,200
MidCentral,65-69,Asian,HSU,383
MidCentral,65-69,Asian,StatsNZ,430
MidCentral,65-69,European or Other,HSU,8408
MidCentral,65-69,European or Other,StatsNZ,8600
MidCentral,65-69,Maori,HSU,849
MidCentral,65-69,Maori,StatsNZ,1040
MidCentral,65-69,Pacific Peoples,HSU,158
MidCentral,65-69,Pacific Peoples,StatsNZ,150
MidCentral,70-74,Asian,HSU,285
MidCentral,70-74,Asian,StatsNZ,330
MidCentral,70-74,European or Other,HSU,7830
MidCentral,70-74,European or Other,StatsNZ,8170
MidCentral,70-74,Maori,HSU,572
MidCentral,70-74,Maori,StatsNZ,740
MidCentral,70-74,Pacific Peoples,HSU,117
MidCentral,70-74,Pacific Peoples,StatsNZ,130
MidCentral,75-79,Asian,HSU,163
MidCentral,75-79,Asian,StatsNZ,200
MidCentral,75-79,European or Other,HSU,5755
MidCentral,75-79,European or Other,StatsNZ,5850
MidCentral,75-79,Maori,HSU,366
MidCentral,75-79,Maori,StatsNZ,430
MidCentral,75-79,Pacific Peoples,HSU,60
MidCentral,75-79,Pacific Peoples,StatsNZ,70
MidCentral,80-84,Asian,HSU,108
MidCentral,80-84,Asian,StatsNZ,120
MidCentral,80-84,European or Other,HSU,3905
MidCentral,80-84,European or Other,StatsNZ,4080
MidCentral,80-84,Maori,HSU,190
MidCentral,80-84,Maori,StatsNZ,240
MidCentral,80-84,Pacific Peoples,HSU,39
MidCentral,80-84,Pacific Peoples,StatsNZ,40
MidCentral,85-89,Asian,HSU,49
MidCentral,85-89,Asian,StatsNZ,60
MidCentral,85-89,European or Other,HSU,2289
MidCentral,85-89,European or Other,StatsNZ,2250
MidCentral,85-89,Maori,HSU,72
MidCentral,85-89,Maori,StatsNZ,90
MidCentral,85-89,Pacific Peoples,HSU,8
MidCentral,85-89,Pacific Peoples,StatsNZ,10
MidCentral,90+,Asian,HSU,22
MidCentral,90+,Asian,StatsNZ,30
MidCentral,90+,European or Other,HSU,1269
MidCentral,90+,European or Other,StatsNZ,1250
MidCentral,90+,Maori,HSU,27
MidCentral,90+,Maori,StatsNZ,50
Nelson Marlborough,20-24,Asian,HSU,361
Nelson Marlborough,20-24,Asian,StatsNZ,540
Nelson Marlborough,20-24,European or Other,HSU,5521
Nelson Marlborough,20-24,European or Other,StatsNZ,5080
Nelson Marlborough,20-24,Maori,HSU,1115
Nelson Marlborough,20-24,Maori,StatsNZ,1330
Nelson Marlborough,20-24,Pacific Peoples,HSU,244
Nelson Marlborough,20-24,Pacific Peoples,StatsNZ,250
Nelson Marlborough,25-29,Asian,HSU,643
Nelson Marlborough,25-29,Asian,StatsNZ,1050
Nelson Marlborough,25-29,European or Other,HSU,6062
Nelson Marlborough,25-29,European or Other,StatsNZ,5940
Nelson Marlborough,25-29,Maori,HSU,1129
Nelson Marlborough,25-29,Maori,StatsNZ,1270
Nelson Marlborough,25-29,Pacific Peoples,HSU,240
Nelson Marlborough,25-29,Pacific Peoples,StatsNZ,300
Nelson Marlborough,30-34,Asian,HSU,908
Nelson Marlborough,30-34,Asian,StatsNZ,1130
Nelson Marlborough,30-34,European or Other,HSU,6719
Nelson Marlborough,30-34,European or Other,StatsNZ,6500
Nelson Marlborough,30-34,Maori,HSU,941
Nelson Marlborough,30-34,Maori,StatsNZ,1130
Nelson Marlborough,30-34,Pacific Peoples,HSU,242
Nelson Marlborough,30-34,Pacific Peoples,StatsNZ,290
Nelson Marlborough,35-39,Asian,HSU,756
Nelson Marlborough,35-39,Asian,StatsNZ,940
Nelson Marlborough,35-39,European or Other,HSU,6914
Nelson Marlborough,35-39,European or Other,StatsNZ,6690
Nelson Marlborough,35-39,Maori,HSU,810
Nelson Marlborough,35-39,Maori,StatsNZ,990
Nelson Marlborough,35-39,Pacific Peoples,HSU,237
Nelson Marlborough,35-39,Pacific Peoples,StatsNZ,290
Nelson Marlborough,40-44,Asian,HSU,578
Nelson Marlborough,40-44,Asian,StatsNZ,650
Nelson Marlborough,40-44,European or Other,HSU,7308
Nelson Marlborough,40-44,European or Other,StatsNZ,7320
Nelson Marlborough,40-44,Maori,HSU,762
Nelson Marlborough,40-44,Maori,StatsNZ,950
Nelson Marlborough,40-44,Pacific Peoples,HSU,186
Nelson Marlborough,40-44,Pacific Peoples,StatsNZ,260
Nelson Marlborough,45-49,Asian,HSU,480
Nelson Marlborough,45-49,Asian,StatsNZ,610
Nelson Marlborough,45-49,European or Other,HSU,9144
Nelson Marlborough,45-49,European or Other,StatsNZ,9220
Nelson Marlborough,45-49,Maori,HSU,873
Nelson Marlborough,45-49,Maori,StatsNZ,1080
Nelson Marlborough,45-49,Pacific Peoples,HSU,152
Nelson Marlborough,45-49,Pacific Peoples,StatsNZ,200
Nelson Marlborough,50-54,Asian,HSU,307
Nelson Marlborough,50-54,Asian,StatsNZ,430
Nelson Marlborough,50-54,European or Other,HSU,9827
Nelson Marlborough,50-54,European or Other,StatsNZ,10020
Nelson Marlborough,50-54,Maori,HSU,855
Nelson Marlborough,50-54,Maori,StatsNZ,1050
Nelson Marlborough,50-54,Pacific Peoples,HSU,132
Nelson Marlborough,50-54,Pacific Peoples,StatsNZ,170
Nelson Marlborough,55-59,Asian,HSU,256
Nelson Marlborough,55-59,Asian,StatsNZ,380
Nelson Marlborough,55-59,European or Other,HSU,10765
Nelson Marlborough,55-59,European or Other,StatsNZ,10630
Nelson Marlborough,55-59,Maori,HSU,785
Nelson Marlborough,55-59,Maori,StatsNZ,980
Nelson Marlborough,55-59,Pacific Peoples,HSU,96
Nelson Marlborough,55-59,Pacific Peoples,StatsNZ,120
Nelson Marlborough,60-64,Asian,HSU,188
Nelson Marlborough,60-64,Asian,StatsNZ,260
Nelson Marlborough,60-64,European or Other,HSU,10363
Nelson Marlborough,60-64,European or Other,StatsNZ,10560
Nelson Marlborough,60-64,Maori,HSU,607
Nelson Marlborough,60-64,Maori,StatsNZ,760
Nelson Marlborough,60-64,Pacific Peoples,HSU,68
Nelson Marlborough,60-64,Pacific Peoples,StatsNZ,90
Nelson Marlborough,65-69,Asian,HSU,127
Nelson Marlborough,65-69,Asian,StatsNZ,180
Nelson Marlborough,65-69,European or Other,HSU,9675
Nelson Marlborough,65-69,European or Other,StatsNZ,9920
Nelson Marlborough,65-69,Maori,HSU,415
Nelson Marlborough,65-69,Maori,StatsNZ,520
Nelson Marlborough,65-69,Pacific Peoples,HSU,51
Nelson Marlborough,65-69,Pacific Peoples,StatsNZ,70
Nelson Marlborough,70-74,Asian,HSU,72
Nelson Marlborough,70-74,Asian,StatsNZ,110
Nelson Marlborough,70-74,European or Other,HSU,9159
Nelson Marlborough,70-74,European or Other,StatsNZ,9540
Nelson Marlborough,70-74,Maori,HSU,298
Nelson Marlborough,70-74,Maori,StatsNZ,360
Nelson Marlborough,70-74,Pacific Peoples,HSU,34
Nelson Marlborough,70-74,Pacific Peoples,StatsNZ,50
Nelson Marlborough,75-79,Asian,HSU,31
Nelson Marlborough,75-79,Asian,StatsNZ,60
Nelson Marlborough,75-79,European or Other,HSU,6167
Nelson Marlborough,75-79,European or Other,StatsNZ,6490
Nelson Marlborough,75-79,Maori,HSU,196
Nelson Marlborough,75-79,Maori,StatsNZ,250
Nelson Marlborough,75-79,Pacific Peoples,HSU,9
Nelson Marlborough,75-79,Pacific Peoples,StatsNZ,30
Nelson Marlborough,80-84,Asian,HSU,15
Nelson Marlborough,80-84,Asian,StatsNZ,30
Nelson Marlborough,80-84,European or Other,HSU,3844
Nelson Marlborough,80-84,European or Other,StatsNZ,4230
Nelson Marlborough,80-84,Maori,HSU,86
Nelson Marlborough,80-84,Maori,StatsNZ,110
Nelson Marlborough,80-84,Pacific Peoples,HSU,9
Nelson Marlborough,80-84,Pacific Peoples,StatsNZ,20
Nelson Marlborough,85-89,European or Other,HSU,2226
Nelson Marlborough,85-89,European or Other,StatsNZ,2370
Nelson Marlborough,85-89,Maori,HSU,30
Nelson Marlborough,85-89,Maori,StatsNZ,70
Nelson Marlborough,90+,European or Other,HSU,1241
Nelson Marlborough,90+,European or Other,StatsNZ,1390
Nelson Marlborough,90+,Maori,HSU,10
Nelson Marlborough,90+,Maori,StatsNZ,30
Northland,20-24,Asian,HSU,301
Northland,20-24,Asian,StatsNZ,440
Northland,20-24,European or Other,HSU,4226
Northland,20-24,European or Other,StatsNZ,3570
Northland,20-24,Maori,HSU,4724
Northland,20-24,Maori,StatsNZ,4670
Northland,20-24,Pacific Peoples,HSU,232
Northland,20-24,Pacific Peoples,StatsNZ,260
Northland,25-29,Asian,HSU,718
Northland,25-29,Asian,StatsNZ,750
Northland,25-29,European or Other,HSU,5154
Northland,25-29,European or Other,StatsNZ,4610
Northland,25-29,Maori,HSU,4586
Northland,25-29,Maori,StatsNZ,4810
Northland,25-29,Pacific Peoples,HSU,301
Northland,25-29,Pacific Peoples,StatsNZ,300
Northland,30-34,Asian,HSU,956
Northland,30-34,Asian,StatsNZ,1070
Northland,30-34,European or Other,HSU,5615
Northland,30-34,European or Other,StatsNZ,5400
Northland,30-34,Maori,HSU,4299
Northland,30-34,Maori,StatsNZ,4630
Northland,30-34,Pacific Peoples,HSU,302
Northland,30-34,Pacific Peoples,StatsNZ,310
Northland,35-39,Asian,HSU,715
Northland,35-39,Asian,StatsNZ,810
Northland,35-39,European or Other,HSU,5626
Northland,35-39,European or Other,StatsNZ,5590
Northland,35-39,Maori,HSU,3431
Northland,35-39,Maori,StatsNZ,3850
Northland,35-39,Pacific Peoples,HSU,258
Northland,35-39,Pacific Peoples,StatsNZ,250
Northland,40-44,Asian,HSU,527
Northland,40-44,Asian,StatsNZ,610
Northland,40-44,European or Other,HSU,5626
Northland,40-44,European or Other,StatsNZ,5590
Northland,40-44,Maori,HSU,3235
Northland,40-44,Maori,StatsNZ,3500
Northland,40-44,Pacific Peoples,HSU,249
Northland,40-44,Pacific Peoples,StatsNZ,270
Northland,45-49,Asian,HSU,458
Northland,45-49,Asian,StatsNZ,510
Northland,45-49,European or Other,HSU,7087
Northland,45-49,European or Other,StatsNZ,6980
Northland,45-49,Maori,HSU,3837
Northland,45-49,Maori,StatsNZ,4040
Northland,45-49,Pacific Peoples,HSU,251
Northland,45-49,Pacific Peoples,StatsNZ,260
Northland,50-54,Asian,HSU,389
Northland,50-54,Asian,StatsNZ,470
Northland,50-54,European or Other,HSU,8208
Northland,50-54,European or Other,StatsNZ,8380
Northland,50-54,Maori,HSU,3722
Northland,50-54,Maori,StatsNZ,4030
Northland,50-54,Pacific Peoples,HSU,225
Northland,50-54,Pacific Peoples,StatsNZ,270
Northland,55-59,Asian,HSU,333
Northland,55-59,Asian,StatsNZ,400
Northland,55-59,European or Other,HSU,9555
Northland,55-59,European or Other,StatsNZ,9360
Northland,55-59,Maori,HSU,3914
Northland,55-59,Maori,StatsNZ,4120
Northland,55-59,Pacific Peoples,HSU,179
Northland,55-59,Pacific Peoples,StatsNZ,200
Northland,60-64,Asian,HSU,274
Northland,60-64,Asian,StatsNZ,340
Northland,60-64,European or Other,HSU,10005
Northland,60-64,European or Other,StatsNZ,9980
Northland,60-64,Maori,HSU,3289
Northland,60-64,Maori,StatsNZ,3510
Northland,60-64,Pacific Peoples,HSU,140
Northland,60-64,Pacific Peoples,StatsNZ,170
Northland,65-69,Asian,HSU,185
Northland,65-69,Asian,StatsNZ,230
Northland,65-69,European or Other,HSU,9715
Northland,65-69,European or Other,StatsNZ,10020
Northland,65-69,Maori,HSU,2329
Northland,65-69,Maori,StatsNZ,2540
Northland,65-69,Pacific Peoples,HSU,141
Northland,65-69,Pacific Peoples,StatsNZ,140
Northland,70-74,Asian,HSU,122
Northland,70-74,Asian,StatsNZ,150
Northland,70-74,European or Other,HSU,9173
Northland,70-74,European or Other,StatsNZ,9360
Northland,70-74,Maori,HSU,1581
Northland,70-74,Maori,StatsNZ,1730
Northland,70-74,Pacific Peoples,HSU,80
Northland,70-74,Pacific Peoples,StatsNZ,90
Northland,75-79,Asian,HSU,61
Northland,75-79,Asian,StatsNZ,90
Northland,75-79,European or Other,HSU,6027
Northland,75-79,European or Other,StatsNZ,6200
Northland,75-79,Maori,HSU,951
Northland,75-79,Maori,StatsNZ,1090
Northland,75-79,Pacific Peoples,HSU,50
Northland,75-79,Pacific Peoples,StatsNZ,70
Northland,80-84,Asian,HSU,29
Northland,80-84,Asian,StatsNZ,50
Northland,80-84,European or Other,HSU,3844
Northland,80-84,European or Other,StatsNZ,4090
Northland,80-84,Maori,HSU,570
Northland,80-84,Maori,StatsNZ,610
Northland,80-84,Pacific Peoples,HSU,13
Northland,80-84,Pacific Peoples,StatsNZ,30
Northland,85-89,Asian,HSU,11
Northland,85-89,Asian,StatsNZ,20
Northland,85-89,European or Other,HSU,2077
Northland,85-89,European or Other,StatsNZ,2050
Northland,85-89,Maori,HSU,217
Northland,85-89,Maori,StatsNZ,260
Northland,90+,Asian,HSU,7
Northland,90+,Asian,StatsNZ,0
Northland,90+,European or Other,HSU,1198
Northland,90+,European or Other,StatsNZ,1170
Northland,90+,Maori,HSU,87
Northland,90+,Maori,StatsNZ,90
South Canterbury,20-24,Asian,HSU,121
South Canterbury,20-24,Asian,StatsNZ,150
South Canterbury,20-24,European or Other,HSU,2528
South Canterbury,20-24,European or Other,StatsNZ,2170
South Canterbury,20-24,Maori,HSU,385
South Canterbury,20-24,Maori,StatsNZ,460
South Canterbury,20-24,Pacific Peoples,HSU,109
South Canterbury,20-24,Pacific Peoples,StatsNZ,70
South Canterbury,25-29,Asian,HSU,350
South Canterbury,25-29,Asian,StatsNZ,390
South Canterbury,25-29,European or Other,HSU,2901
South Canterbury,25-29,European or Other,StatsNZ,2880
South Canterbury,25-29,Maori,HSU,330
South Canterbury,25-29,Maori,StatsNZ,390
South Canterbury,25-29,Pacific Peoples,HSU,98
South Canterbury,25-29,Pacific Peoples,StatsNZ,80
South Canterbury,30-34,Asian,HSU,443
South Canterbury,30-34,Asian,StatsNZ,520
South Canterbury,30-34,European or Other,HSU,2818
South Canterbury,30-34,European or Other,StatsNZ,2940
South Canterbury,30-34,Maori,HSU,317
South Canterbury,30-34,Maori,StatsNZ,370
South Canterbury,30-34,Pacific Peoples,HSU,115
South Canterbury,30-34,Pacific Peoples,StatsNZ,80
South Canterbury,35-39,Asian,HSU,351
South Canterbury,35-39,Asian,StatsNZ,410
South Canterbury,35-39,European or Other,HSU,2549
South Canterbury,35-39,European or Other,StatsNZ,2560
South Canterbury,35-39,Maori,HSU,220
South Canterbury,35-39,Maori,StatsNZ,290
South Canterbury,35-39,Pacific Peoples,HSU,107
South Canterbury,35-39,Pacific Peoples,StatsNZ,85
South Canterbury,40-44,Asian,HSU,296
South Canterbury,40-44,Asian,StatsNZ,350
South Canterbury,40-44,European or Other,HSU,2696
South Canterbury,40-44,European or Other,StatsNZ,2700
South Canterbury,40-44,Maori,HSU,258
South Canterbury,40-44,Maori,StatsNZ,300
South Canterbury,40-44,Pacific Peoples,HSU,89
South Canterbury,40-44,Pacific Peoples,StatsNZ,75
South Canterbury,45-49,Asian,HSU,194
South Canterbury,45-49,Asian,StatsNZ,240
South Canterbury,45-49,European or Other,HSU,3377
South Canterbury,45-49,European or Other,StatsNZ,3320
South Canterbury,45-49,Maori,HSU,279
South Canterbury,45-49,Maori,StatsNZ,330
South Canterbury,45-49,Pacific Peoples,HSU,51
South Canterbury,45-49,Pacific Peoples,StatsNZ,55
South Canterbury,50-54,Asian,HSU,126
South Canterbury,50-54,Asian,StatsNZ,170
South Canterbury,50-54,European or Other,HSU,3710
South Canterbury,50-54,European or Other,StatsNZ,3680
South Canterbury,50-54,Maori,HSU,235
South Canterbury,50-54,Maori,StatsNZ,280
South Canterbury,50-54,Pacific Peoples,HSU,37
South Canterbury,50-54,Pacific Peoples,StatsNZ,40
South Canterbury,55-59,Asian,HSU,86
South Canterbury,55-59,Asian,StatsNZ,150
South Canterbury,55-59,European or Other,HSU,4095
South Canterbury,55-59,European or Other,StatsNZ,4110
South Canterbury,55-59,Maori,HSU,221
South Canterbury,55-59,Maori,StatsNZ,270
South Canterbury,55-59,Pacific Peoples,HSU,23
South Canterbury,55-59,Pacific Peoples,StatsNZ,35
South Canterbury,60-64,Asian,HSU,73
South Canterbury,60-64,Asian,StatsNZ,100
South Canterbury,60-64,European or Other,HSU,3948
South Canterbury,60-64,European or Other,StatsNZ,4050
South Canterbury,60-64,Maori,HSU,167
South Canterbury,60-64,Maori,StatsNZ,200
South Canterbury,60-64,Pacific Peoples,HSU,24
South Canterbury,60-64,Pacific Peoples,StatsNZ,20
South Canterbury,65-69,Asian,HSU,33
South Canterbury,65-69,Asian,StatsNZ,60
South Canterbury,65-69,European or Other,HSU,3680
South Canterbury,65-69,European or Other,StatsNZ,3810
South Canterbury,65-69,Maori,HSU,128
South Canterbury,65-69,Maori,StatsNZ,170
South Canterbury,65-69,Pacific Peoples,HSU,7
South Canterbury,65-69,Pacific Peoples,StatsNZ,15
South Canterbury,70-74,Asian,HSU,30
South Canterbury,70-74,Asian,StatsNZ,40
South Canterbury,70-74,European or Other,HSU,3388
South Canterbury,70-74,European or Other,StatsNZ,3550
South Canterbury,70-74,Maori,HSU,86
South Canterbury,70-74,Maori,StatsNZ,100
South Canterbury,70-74,Pacific Peoples,HSU,6
South Canterbury,70-74,Pacific Peoples,StatsNZ,10
South Canterbury,75-79,Asian,HSU,7
South Canterbury,75-79,Asian,StatsNZ,20
South Canterbury,75-79,European or Other,HSU,2433
South Canterbury,75-79,European or Other,StatsNZ,2470
South Canterbury,75-79,Maori,HSU,47
South Canterbury,75-79,Maori,StatsNZ,60
South Canterbury,75-79,Pacific Peoples,HSU,13
South Canterbury,75-79,Pacific Peoples,StatsNZ,10
South Canterbury,80-84,Asian,HSU,10
South Canterbury,80-84,Asian,StatsNZ,20
South Canterbury,80-84,European or Other,HSU,1701
South Canterbury,80-84,European or Other,StatsNZ,1740
South Canterbury,80-84,Maori,HSU,27
South Canterbury,80-84,Maori,StatsNZ,40
South Canterbury,85-89,European or Other,HSU,952
South Canterbury,85-89,European or Other,StatsNZ,1020
South Canterbury,85-89,Maori,HSU,15
South Canterbury,85-89,Maori,StatsNZ,20
South Canterbury,90+,European or Other,HSU,542
South Canterbury,90+,European or Other,StatsNZ,540
Southern,20-24,Asian,HSU,1846
Southern,20-24,Asian,StatsNZ,3190
Southern,20-24,European or Other,HSU,18017
Southern,20-24,European or Other,StatsNZ,17790
Southern,20-24,Maori,HSU,2893
Southern,20-24,Maori,StatsNZ,3690
Southern,20-24,Pacific Peoples,HSU,791
Southern,20-24,Pacific Peoples,StatsNZ,960
Southern,25-29,Asian,HSU,2149
Southern,25-29,Asian,StatsNZ,3270
Southern,25-29,European or Other,HSU,17765
Southern,25-29,European or Other,StatsNZ,17640
Southern,25-29,Maori,HSU,2463
Southern,25-29,Maori,StatsNZ,3020
Southern,25-29,Pacific Peoples,HSU,698
Southern,25-29,Pacific Peoples,StatsNZ,770
Southern,30-34,Asian,HSU,2669
Southern,30-34,Asian,StatsNZ,3680
Southern,30-34,European or Other,HSU,17577
Southern,30-34,European or Other,StatsNZ,18210
Southern,30-34,Maori,HSU,2181
Southern,30-34,Maori,StatsNZ,2640
Southern,30-34,Pacific Peoples,HSU,585
Southern,30-34,Pacific Peoples,StatsNZ,610
Southern,35-39,Asian,HSU,2425
Southern,35-39,Asian,StatsNZ,3110
Southern,35-39,European or Other,HSU,16253
Southern,35-39,European or Other,StatsNZ,16420
Southern,35-39,Maori,HSU,1807
Southern,35-39,Maori,StatsNZ,2180
Southern,35-39,Pacific Peoples,HSU,584
Southern,35-39,Pacific Peoples,StatsNZ,570
Southern,40-44,Asian,HSU,1667
Southern,40-44,Asian,StatsNZ,2030
Southern,40-44,European or Other,HSU,15983
Southern,40-44,European or Other,StatsNZ,16300
Southern,40-44,Maori,HSU,1609
Southern,40-44,Maori,StatsNZ,2010
Southern,40-44,Pacific Peoples,HSU,461
Southern,40-44,Pacific Peoples,StatsNZ,470
Southern,45-49,Asian,HSU,1249
Southern,45-49,Asian,StatsNZ,1560
Southern,45-49,European or Other,HSU,18188
Southern,45-49,European or Other,StatsNZ,18140
Southern,45-49,Maori,HSU,1630
Southern,45-49,Maori,StatsNZ,1930
Southern,45-49,Pacific Peoples,HSU,436
Southern,45-49,Pacific Peoples,StatsNZ,430
Southern,50-54,Asian,HSU,887
Southern,50-54,Asian,StatsNZ,1200
Southern,50-54,European or Other,HSU,18051
Southern,50-54,European or Other,StatsNZ,18680
Southern,50-54,Maori,HSU,1625
Southern,50-54,Maori,StatsNZ,1910
Southern,50-54,Pacific Peoples,HSU,353
Southern,50-54,Pacific Peoples,StatsNZ,390
Southern,55-59,Asian,HSU,672
Southern,55-59,Asian,StatsNZ,880
Southern,55-59,European or Other,HSU,20230
Southern,55-59,European or Other,StatsNZ,20340
Southern,55-59,Maori,HSU,1465
Southern,55-59,Maori,StatsNZ,1730
Southern,55-59,Pacific Peoples,HSU,250
Southern,55-59,Pacific Peoples,StatsNZ,280
Southern,60-64,Asian,HSU,484
Southern,60-64,Asian,StatsNZ,650
Southern,60-64,European or Other,HSU,19007
Southern,60-64,European or Other,StatsNZ,19550
Southern,60-64,Maori,HSU,1085
Southern,60-64,Maori,StatsNZ,1330
Southern,60-64,Pacific Peoples,HSU,219
Southern,60-64,Pacific Peoples,StatsNZ,210
Southern,65-69,Asian,HSU,336
Southern,65-69,Asian,StatsNZ,460
Southern,65-69,European or Other,HSU,16449
Southern,65-69,European or Other,StatsNZ,17170
Southern,65-69,Maori,HSU,752
Southern,65-69,Maori,StatsNZ,920
Southern,65-69,Pacific Peoples,HSU,154
Southern,65-69,Pacific Peoples,StatsNZ,160
Southern,70-74,Asian,HSU,195
Southern,70-74,Asian,StatsNZ,260
Southern,70-74,European or Other,HSU,14334
Southern,70-74,European or Other,StatsNZ,15120
Southern,70-74,Maori,HSU,572
Southern,70-74,Maori,StatsNZ,670
Southern,70-74,Pacific Peoples,HSU,100
Southern,70-74,Pacific Peoples,StatsNZ,120
Southern,75-79,Asian,HSU,104
Southern,75-79,Asian,StatsNZ,150
Southern,75-79,European or Other,HSU,9945
Southern,75-79,European or Other,StatsNZ,10240
Southern,75-79,Maori,HSU,307
Southern,75-79,Maori,StatsNZ,390
Southern,75-79,Pacific Peoples,HSU,68
Southern,75-79,Pacific Peoples,StatsNZ,80
Southern,80-84,Asian,HSU,65
Southern,80-84,Asian,StatsNZ,110
Southern,80-84,European or Other,HSU,6702
Southern,80-84,European or Other,StatsNZ,7150
Southern,80-84,Maori,HSU,216
Southern,80-84,Maori,StatsNZ,280
Southern,80-84,Pacific Peoples,HSU,47
Southern,80-84,Pacific Peoples,StatsNZ,60
Southern,85-89,Asian,HSU,34
Southern,85-89,Asian,StatsNZ,70
Southern,85-89,European or Other,HSU,4036
Southern,85-89,European or Other,StatsNZ,4190
Southern,85-89,Maori,HSU,75
Southern,85-89,Maori,StatsNZ,100
Southern,85-89,Pacific Peoples,HSU,20
Southern,85-89,Pacific Peoples,StatsNZ,30
Southern,90+,Asian,HSU,15
Southern,90+,Asian,StatsNZ,30
Southern,90+,European or Other,HSU,2373
Southern,90+,European or Other,StatsNZ,2570
Southern,90+,Maori,HSU,32
Southern,90+,Maori,StatsNZ,40
Tairawhiti,20-24,Asian,HSU,59
Tairawhiti,20-24,Asian,StatsNZ,50
Tairawhiti,20-24,European or Other,HSU,1019
Tairawhiti,20-24,European or Other,StatsNZ,680
Tairawhiti,20-24,Maori,HSU,1844
Tairawhiti,20-24,Maori,StatsNZ,1870
Tairawhiti,20-24,Pacific Peoples,HSU,89
Tairawhiti,20-24,Pacific Peoples,StatsNZ,75
Tairawhiti,25-29,Asian,HSU,185
Tairawhiti,25-29,Asian,StatsNZ,150
Tairawhiti,25-29,European or Other,HSU,1209
Tairawhiti,25-29,European or Other,StatsNZ,1010
Tairawhiti,25-29,Maori,HSU,1879
Tairawhiti,25-29,Maori,StatsNZ,1950
Tairawhiti,25-29,Pacific Peoples,HSU,100
Tairawhiti,25-29,Pacific Peoples,StatsNZ,85
Tairawhiti,30-34,Asian,HSU,218
Tairawhiti,30-34,Asian,StatsNZ,160
Tairawhiti,30-34,European or Other,HSU,1289
