DHB,Dose1,Dose2,Population,Date
Northland,42261,38720,50488,2022-01-10
Waitemata,37057,35382,41113,2022-01-10
Auckland,25825,24608,27792,2022-01-10
Counties Manukau,55704,51992,63493,2022-01-10
Waikato,61403,56895,69707,2022-01-10
Lakes,26108,24023,30085,2022-01-10
Bay of Plenty,40412,37066,47734,2022-01-10
Tairawhiti,17475,16105,19839,2022-01-10
Taranaki,13910,12891,15904,2022-01-10
Hawkes Bay,29918,27444,34059,2022-01-10
MidCentral,22148,20525,24225,2022-01-10
Whanganui,11413,10539,13512,2022-01-10
Capital and Coast,25182,24132,26967,2022-01-10
Hutt Valley,17444,16387,19123,2022-01-10
Wairarapa,5735,5344,6302,2022-01-10
Nelson Marlborough,9959,9265,11248,2022-01-10
West Coast,2419,2261,2765,2022-01-10
Canterbury,34291,32381,36969,2022-01-10
South Canterbury,3033,2817,3428,2022-01-10
Southern,21477,20343,23646,2022-01-10
Overseas / Unknown,322,281,2653,2022-01-10
New Zealand,503496,469401,571052,2022-01-10
All DHBs to 90%,NA,NA,NA,2022-01-10
