DHB,Dose1,Dose2,Population,Date
Northland,42059,38130,50488,2022-01-03
Waitemata,36924,35091,41113,2022-01-03
Auckland,25704,24345,27792,2022-01-03
Counties Manukau,55435,51382,63493,2022-01-03
Waikato,61079,55993,69707,2022-01-03
Lakes,25947,23573,30085,2022-01-03
Bay of Plenty,40095,36364,47734,2022-01-03
Tairawhiti,17325,15820,19839,2022-01-03
Taranaki,13789,12558,15904,2022-01-03
Hawkes Bay,29667,26861,34059,2022-01-03
MidCentral,22044,20195,24225,2022-01-03
Whanganui,11347,10351,13512,2022-01-03
Capital and Coast,25062,23846,26967,2022-01-03
Hutt Valley,17350,16108,19123,2022-01-03
Wairarapa,5711,5264,6302,2022-01-03
Nelson Marlborough,9889,9075,11248,2022-01-03
West Coast,2411,2221,2765,2022-01-03
Canterbury,34093,31895,36969,2022-01-03
South Canterbury,3010,2768,3428,2022-01-03
Southern,21387,20079,23646,2022-01-03
Overseas / Unknown,315,273,2653,2022-01-03
New Zealand,500643,462192,571052,2022-01-03
All DHBs to 90%,NA,NA,NA,2022-01-03
