DHB,Dose1,Dose2,Population,Date
Northland,37098,28765,50488,2021-11-15
Waitemata,34365,28790,41113,2021-11-15
Auckland,24059,20439,27792,2021-11-15
Counties Manukau,50031,39996,63493,2021-11-15
Waikato,54092,42260,69707,2021-11-15
Lakes,21888,16904,30085,2021-11-15
Bay of Plenty,33381,25735,47734,2021-11-15
Tairawhiti,14892,11678,19839,2021-11-15
Taranaki,11910,9063,15904,2021-11-15
Hawkes Bay,25242,19499,34059,2021-11-15
MidCentral,18767,14668,24225,2021-11-15
Whanganui,9578,7612,13512,2021-11-15
Capital and Coast,22600,19021,26967,2021-11-15
Hutt Valley,14955,12164,19123,2021-11-15
Wairarapa,4940,3705,6302,2021-11-15
Nelson Marlborough,8433,6739,11248,2021-11-15
West Coast,2131,1707,2765,2021-11-15
Canterbury,30330,23530,36969,2021-11-15
South Canterbury,2622,2079,3428,2021-11-15
Southern,19130,15539,23646,2021-11-15
Overseas / Unknown,288,222,2653,2021-11-15
New Zealand,440732,350115,571052,2021-11-15
All DHBs to 90%,NA,NA,NA,2021-11-15
