DHB,Dose1,Dose2,Population,Date
Northland,40899,34899,50488,2021-12-09
Waitemata,36353,33091,41113,2021-12-09
Auckland,25256,23091,27792,2021-12-09
Counties Manukau,54081,47382,63493,2021-12-09
Waikato,59524,51207,69707,2021-12-09
Lakes,25260,21160,30085,2021-12-09
Bay of Plenty,38963,32025,47734,2021-12-09
Tairawhiti,16823,14308,19839,2021-12-09
Taranaki,13306,11339,15904,2021-12-09
Hawkes Bay,28782,23992,34059,2021-12-09
MidCentral,21465,18020,24225,2021-12-09
Whanganui,11021,9266,13512,2021-12-09
Capital and Coast,24674,22152,26967,2021-12-09
Hutt Valley,16895,14627,19123,2021-12-09
Wairarapa,5590,4730,6302,2021-12-09
Nelson Marlborough,9609,8133,11248,2021-12-09
West Coast,2340,2058,2765,2021-12-09
Canterbury,33379,29380,36969,2021-12-09
South Canterbury,2924,2525,3428,2021-12-09
Southern,20905,18488,23646,2021-12-09
Overseas / Unknown,306,244,2653,2021-12-09
New Zealand,488355,422117,571052,2021-12-09
All DHBs to 90%,NA,NA,NA,2021-12-09
