DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43742,41748,18560,32688,50488,2022-03-25
Waitemata,37911,36954,17148,29620,41113,2022-03-25
Auckland,26488,25843,13222,21413,27792,2022-03-25
Counties Manukau,57331,55344,22890,43172,63493,2022-03-25
Waikato,63647,61210,25376,47695,69707,2022-03-25
Lakes,27116,26053,11280,19999,30085,2022-03-25
Bay of Plenty,41927,40113,16961,30873,47734,2022-03-25
Tairawhiti,17988,17257,8131,13439,19839,2022-03-25
Taranaki,14508,14010,5718,10564,15904,2022-03-25
Hawkes Bay,31041,29797,12955,22607,34059,2022-03-25
MidCentral,22952,22201,10120,17028,24225,2022-03-25
Whanganui,11842,11426,5330,8877,13512,2022-03-25
Capital and Coast,25844,25334,13992,20784,26967,2022-03-25
Hutt Valley,17990,17489,8572,13858,19123,2022-03-25
Wairarapa,5913,5700,2531,4412,6302,2022-03-25
Nelson Marlborough,10254,9915,4553,7545,11248,2022-03-25
West Coast,2492,2420,1156,1893,2765,2022-03-25
Canterbury,35496,34670,17010,27091,36969,2022-03-25
South Canterbury,3166,3070,1382,2308,3428,2022-03-25
Southern,22219,21639,10652,17078,23646,2022-03-25
Overseas / Unknown,336,320,130,242,2653,2022-03-25
New Zealand,520203,502513,227669,393186,571052,2022-03-25
