DHB,Dose1,Dose2,Population,Date
Northland,41192,35570,50488,2021-12-13
Waitemata,36538,33634,41113,2021-12-13
Auckland,25395,23410,27792,2021-12-13
Counties Manukau,54516,48478,63493,2021-12-13
Waikato,59979,52208,69707,2021-12-13
Lakes,25473,21670,30085,2021-12-13
Bay of Plenty,39287,32939,47734,2021-12-13
Tairawhiti,16986,14648,19839,2021-12-13
Taranaki,13415,11592,15904,2021-12-13
Hawkes Bay,29001,24620,34059,2021-12-13
MidCentral,21614,18445,24225,2021-12-13
Whanganui,11116,9508,13512,2021-12-13
Capital and Coast,24794,22463,26967,2021-12-13
Hutt Valley,17063,14943,19123,2021-12-13
Wairarapa,5621,4859,6302,2021-12-13
Nelson Marlborough,9684,8282,11248,2021-12-13
West Coast,2351,2073,2765,2021-12-13
Canterbury,33571,29869,36969,2021-12-13
South Canterbury,2938,2568,3428,2021-12-13
Southern,21024,18757,23646,2021-12-13
Overseas / Unknown,306,253,2653,2021-12-13
New Zealand,491864,430789,571052,2021-12-13
All DHBs to 90%,NA,NA,NA,2021-12-13
