DHB,Dose1,Dose2,Population,Date
Northland,40729,34612,50488,2021-12-08
Waitemata,36285,32919,41113,2021-12-08
Auckland,25205,22996,27792,2021-12-08
Counties Manukau,54002,47158,63493,2021-12-08
Waikato,59328,50787,69707,2021-12-08
Lakes,25179,20954,30085,2021-12-08
Bay of Plenty,38781,31732,47734,2021-12-08
Tairawhiti,16780,14216,19839,2021-12-08
Taranaki,13247,11233,15904,2021-12-08
Hawkes Bay,28681,23799,34059,2021-12-08
MidCentral,21356,17757,24225,2021-12-08
Whanganui,10966,9180,13512,2021-12-08
Capital and Coast,24613,22023,26967,2021-12-08
Hutt Valley,16816,14495,19123,2021-12-08
Wairarapa,5574,4692,6302,2021-12-08
Nelson Marlborough,9566,8064,11248,2021-12-08
West Coast,2330,2047,2765,2021-12-08
Canterbury,33289,29192,36969,2021-12-08
South Canterbury,2905,2503,3428,2021-12-08
Southern,20824,18349,23646,2021-12-08
Overseas / Unknown,307,248,2653,2021-12-08
New Zealand,486763,418956,571052,2021-12-08
All DHBs to 90%,NA,NA,NA,2021-12-08
