DHB,Dose1,Dose2,Population,Date
Northland,34853,25311,50488,2021-11-04
Waitemata,33356,26537,41113,2021-11-04
Auckland,23263,18913,27792,2021-11-04
Counties Manukau,47675,35628,63493,2021-11-04
Waikato,52023,37950,69707,2021-11-04
Lakes,20243,14722,30085,2021-11-04
Bay of Plenty,31346,22850,47734,2021-11-04
Tairawhiti,13877,10372,19839,2021-11-04
Taranaki,11113,7754,15904,2021-11-04
Hawkes Bay,23441,17167,34059,2021-11-04
MidCentral,17721,13075,24225,2021-11-04
Whanganui,9032,6938,13512,2021-11-04
Capital and Coast,21826,17510,26967,2021-11-04
Hutt Valley,14264,10987,19123,2021-11-04
Wairarapa,4524,3285,6302,2021-11-04
Nelson Marlborough,8104,6212,11248,2021-11-04
West Coast,2057,1541,2765,2021-11-04
Canterbury,29239,21287,36969,2021-11-04
South Canterbury,2524,1911,3428,2021-11-04
Southern,18403,14395,23646,2021-11-04
Overseas / Unknown,191,139,2653,2021-11-04
Total,419075,314484,571052,2021-11-04
