DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43732,41698,18352,32027,50488,2022-03-21
Waitemata,37919,36960,17051,29282,41113,2022-03-21
Auckland,26459,25794,13092,21142,27792,2022-03-21
Counties Manukau,57355,55339,22734,42554,63493,2022-03-21
Waikato,63628,61162,25178,46811,69707,2022-03-21
Lakes,27101,26024,11197,19572,30085,2022-03-21
Bay of Plenty,41909,40078,16835,30160,47734,2022-03-21
Tairawhiti,17992,17253,8092,13153,19839,2022-03-21
Taranaki,14488,13981,5640,10318,15904,2022-03-21
Hawkes Bay,31045,29783,12874,22087,34059,2022-03-21
MidCentral,22942,22173,10031,16606,24225,2022-03-21
Whanganui,11836,11410,5290,8654,13512,2022-03-21
Capital and Coast,25814,25295,13899,20421,26967,2022-03-21
Hutt Valley,17985,17477,8522,13542,19123,2022-03-21
Wairarapa,5908,5689,2498,4310,6302,2022-03-21
Nelson Marlborough,10254,9909,4530,7370,11248,2022-03-21
West Coast,2490,2415,1145,1859,2765,2022-03-21
Canterbury,35472,34630,16832,26573,36969,2022-03-21
South Canterbury,3172,3075,1371,2265,3428,2022-03-21
Southern,22184,21597,10561,16752,23646,2022-03-21
Overseas / Unknown,334,317,126,230,2653,2022-03-21
New Zealand,520019,502059,225850,385688,571052,2022-03-21
