DHB,Dose1,Dose2,Population,Date
Northland,40562,34333,50488,2021-12-07
Waitemata,36215,32780,41113,2021-12-07
Auckland,25160,22904,27792,2021-12-07
Counties Manukau,53886,46940,63493,2021-12-07
Waikato,59144,50375,69707,2021-12-07
Lakes,25091,20759,30085,2021-12-07
Bay of Plenty,38628,31458,47734,2021-12-07
Tairawhiti,16723,14079,19839,2021-12-07
Taranaki,13190,11126,15904,2021-12-07
Hawkes Bay,28558,23600,34059,2021-12-07
MidCentral,21278,17626,24225,2021-12-07
Whanganui,10920,9106,13512,2021-12-07
Capital and Coast,24531,21898,26967,2021-12-07
Hutt Valley,16770,14407,19123,2021-12-07
Wairarapa,5563,4628,6302,2021-12-07
Nelson Marlborough,9533,7995,11248,2021-12-07
West Coast,2323,2035,2765,2021-12-07
Canterbury,33182,29005,36969,2021-12-07
South Canterbury,2898,2483,3428,2021-12-07
Southern,20763,18262,23646,2021-12-07
Overseas / Unknown,306,243,2653,2021-12-07
New Zealand,485224,416042,571052,2021-12-07
All DHBs to 90%,NA,NA,NA,2021-12-07
