DHB,Dose1,Dose2,Population,Date
Northland,35290,26046,50488,2021-11-07
Waitemata,33635,27337,41113,2021-11-07
Auckland,23479,19402,27792,2021-11-07
Counties Manukau,48305,37087,63493,2021-11-07
Waikato,52573,39255,69707,2021-11-07
Lakes,20568,15361,30085,2021-11-07
Bay of Plenty,31751,23685,47734,2021-11-07
Tairawhiti,14131,10758,19839,2021-11-07
Taranaki,11360,8159,15904,2021-11-07
Hawkes Bay,24035,18131,34059,2021-11-07
MidCentral,17953,13572,24225,2021-11-07
Whanganui,9137,7124,13512,2021-11-07
Capital and Coast,21977,17923,26967,2021-11-07
Hutt Valley,14442,11413,19123,2021-11-07
Wairarapa,4609,3400,6302,2021-11-07
Nelson Marlborough,8164,6362,11248,2021-11-07
West Coast,2083,1589,2765,2021-11-07
Canterbury,29545,22016,36969,2021-11-07
South Canterbury,2545,1958,3428,2021-11-07
Southern,18594,14671,23646,2021-11-07
Overseas / Unknown,190,141,2653,2021-11-07
Total,424366,325390,571052,2021-11-07
