DHB,Dose1,Dose2,Population,Date
Northland,36653,28179,50488,2021-11-12
Waitemata,34106,28284,41113,2021-11-12
Auckland,23872,20080,27792,2021-11-12
Counties Manukau,49384,38918,63493,2021-11-12
Waikato,53615,41422,69707,2021-11-12
Lakes,21118,16184,30085,2021-11-12
Bay of Plenty,32639,25061,47734,2021-11-12
Tairawhiti,14584,11344,19839,2021-11-12
Taranaki,11662,8795,15904,2021-11-12
Hawkes Bay,24684,18892,34059,2021-11-12
MidCentral,18398,14257,24225,2021-11-12
Whanganui,9417,7465,13512,2021-11-12
Capital and Coast,22349,18621,26967,2021-11-12
Hutt Valley,14712,11875,19123,2021-11-12
Wairarapa,4739,3556,6302,2021-11-12
Nelson Marlborough,8336,6635,11248,2021-11-12
West Coast,2115,1677,2765,2021-11-12
Canterbury,30045,22993,36969,2021-11-12
South Canterbury,2595,2047,3428,2021-11-12
Southern,18992,15316,23646,2021-11-12
Overseas / Unknown,292,226,2653,2021-11-12
New Zealand,434307,341827,571052,2021-11-12
All DHBs to 90%,NA,NA,NA,2021-11-12
