DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43778,41805,18947,33591,50488,2022-04-13
Waitemata,37946,37025,17496,30209,41113,2022-04-13
Auckland,26578,25965,13533,21973,27792,2022-04-13
Counties Manukau,57309,55395,23324,44252,63493,2022-04-13
Waikato,63686,61340,25999,49242,69707,2022-04-13
Lakes,27128,26081,11508,20772,30085,2022-04-13
Bay of Plenty,41994,40238,17211,32114,47734,2022-04-13
Tairawhiti,18018,17330,8250,13948,19839,2022-04-13
Taranaki,14520,14035,5844,11029,15904,2022-04-13
Hawkes Bay,31033,29847,13155,23494,34059,2022-04-13
MidCentral,22984,22256,10282,17645,24225,2022-04-13
Whanganui,11840,11434,5411,9195,13512,2022-04-13
Capital and Coast,25833,25350,14191,21285,26967,2022-04-13
Hutt Valley,18019,17533,8736,14299,19123,2022-04-13
Wairarapa,5946,5737,2594,4587,6302,2022-04-13
Nelson Marlborough,10260,9931,4641,7903,11248,2022-04-13
West Coast,2499,2429,1185,1953,2765,2022-04-13
Canterbury,35542,34755,17352,27951,36969,2022-04-13
South Canterbury,3172,3079,1400,2385,3428,2022-04-13
Southern,22370,21816,10886,17720,23646,2022-04-13
Overseas / Unknown,309,294,116,231,2653,2022-04-13
New Zealand,520764,503675,232061,405778,571052,2022-04-13
