DHB,Dose1,Dose2,Population,Date
Northland,41950,37661,50488,2021-12-27
Waitemata,36877,34828,41113,2021-12-27
Auckland,25660,24162,27792,2021-12-27
Counties Manukau,55317,50841,63493,2021-12-27
Waikato,60922,55285,69707,2021-12-27
Lakes,25869,23170,30085,2021-12-27
Bay of Plenty,39928,35592,47734,2021-12-27
Tairawhiti,17290,15607,19839,2021-12-27
Taranaki,13735,12337,15904,2021-12-27
Hawkes Bay,29559,26366,34059,2021-12-27
MidCentral,21978,19828,24225,2021-12-27
Whanganui,11311,10188,13512,2021-12-27
Capital and Coast,24993,23569,26967,2021-12-27
Hutt Valley,17328,15915,19123,2021-12-27
Wairarapa,5692,5177,6302,2021-12-27
Nelson Marlborough,9857,8855,11248,2021-12-27
West Coast,2400,2194,2765,2021-12-27
Canterbury,34009,31430,36969,2021-12-27
South Canterbury,3002,2732,3428,2021-12-27
Southern,21330,19807,23646,2021-12-27
Overseas / Unknown,312,265,2653,2021-12-27
New Zealand,499319,455809,571052,2021-12-27
All DHBs to 90%,NA,NA,NA,2021-12-27
