DHB,Dose1,Dose2,Population,Date
Northland,32546,22204,50488,2021-10-23
Waitemata,31850,23350,41113,2021-10-23
Auckland,22319,16881,27792,2021-10-23
Counties Manukau,44484,30841,63493,2021-10-23
Waikato,48285,32593,69707,2021-10-23
Lakes,18817,12913,30085,2021-10-23
Bay of Plenty,29459,19496,47734,2021-10-23
Tairawhiti,12854,9326,19839,2021-10-23
Taranaki,10365,6590,15904,2021-10-23
Hawkes Bay,21858,15383,34059,2021-10-23
MidCentral,16581,11699,24225,2021-10-23
Whanganui,8498,6244,13512,2021-10-23
Capital and Coast,21069,15711,26967,2021-10-23
Hutt Valley,13496,9549,19123,2021-10-23
Wairarapa,4236,2938,6302,2021-10-23
Nelson Marlborough,7567,5688,11248,2021-10-23
West Coast,1898,1339,2765,2021-10-23
Canterbury,26665,17850,36969,2021-10-23
South Canterbury,2308,1682,3428,2021-10-23
Southern,17108,12942,23646,2021-10-23
Overseas / Unknown,177,125,2653,2021-10-23
Total,392440,275344,571052,2021-10-23
