DHB,Dose1,Dose2,Population,Date
Northland,36345,27812,50488,2021-11-11
Waitemata,34010,28082,41113,2021-11-11
Auckland,23785,19927,27792,2021-11-11
Counties Manukau,49136,38520,63493,2021-11-11
Waikato,53337,40919,69707,2021-11-11
Lakes,21028,16039,30085,2021-11-11
Bay of Plenty,32371,24675,47734,2021-11-11
Tairawhiti,14482,11221,19839,2021-11-11
Taranaki,11541,8590,15904,2021-11-11
Hawkes Bay,24575,18769,34059,2021-11-11
MidCentral,18306,14127,24225,2021-11-11
Whanganui,9353,7411,13512,2021-11-11
Capital and Coast,22268,18463,26967,2021-11-11
Hutt Valley,14657,11794,19123,2021-11-11
Wairarapa,4693,3509,6302,2021-11-11
Nelson Marlborough,8292,6577,11248,2021-11-11
West Coast,2102,1639,2765,2021-11-11
Canterbury,29993,22907,36969,2021-11-11
South Canterbury,2582,2035,3428,2021-11-11
Southern,18910,15196,23646,2021-11-11
Overseas / Unknown,296,230,2653,2021-11-11
New Zealand,432062,338442,571052,2021-11-11
All DHBs to 90%,NA,NA,NA,2021-11-11
