DHB,Dose1,Dose2,Population,Date
Northland,40264,33721,50488,2021-12-05
Waitemata,36058,32449,41113,2021-12-05
Auckland,25073,22669,27792,2021-12-05
Counties Manukau,53652,46455,63493,2021-12-05
Waikato,58714,49622,69707,2021-12-05
Lakes,24862,20268,30085,2021-12-05
Bay of Plenty,38257,30864,47734,2021-12-05
Tairawhiti,16568,13833,19839,2021-12-05
Taranaki,13102,10934,15904,2021-12-05
Hawkes Bay,28308,23265,34059,2021-12-05
MidCentral,21063,17324,24225,2021-12-05
Whanganui,10791,8952,13512,2021-12-05
Capital and Coast,24376,21628,26967,2021-12-05
Hutt Valley,16674,14246,19123,2021-12-05
Wairarapa,5524,4495,6302,2021-12-05
Nelson Marlborough,9438,7882,11248,2021-12-05
West Coast,2302,1999,2765,2021-12-05
Canterbury,32911,28557,36969,2021-12-05
South Canterbury,2871,2441,3428,2021-12-05
Southern,20606,18013,23646,2021-12-05
Overseas / Unknown,305,236,2653,2021-12-05
New Zealand,481719,409853,571052,2021-12-05
All DHBs to 90%,NA,NA,NA,2021-12-05
