DHB,Dose1,Dose2,Population,Date
Northland,42959,40004,50488,2022-01-27
Waitemata,37498,36101,41113,2022-01-27
Auckland,26052,25065,27792,2022-01-27
Counties Manukau,56560,53525,63493,2022-01-27
Waikato,62477,58791,69707,2022-01-27
Lakes,26586,24867,30085,2022-01-27
Bay of Plenty,41178,38424,47734,2022-01-27
Tairawhiti,17715,16678,19839,2022-01-27
Taranaki,14200,13327,15904,2022-01-27
Hawkes Bay,30443,28453,34059,2022-01-27
MidCentral,22511,21275,24225,2022-01-27
Whanganui,11604,10930,13512,2022-01-27
Capital and Coast,25481,24628,26967,2022-01-27
Hutt Valley,17717,16877,19123,2022-01-27
Wairarapa,5810,5498,6302,2022-01-27
Nelson Marlborough,10111,9584,11248,2022-01-27
West Coast,2463,2332,2765,2022-01-27
Canterbury,34793,33351,36969,2022-01-27
South Canterbury,3095,2923,3428,2022-01-27
Southern,21742,20878,23646,2022-01-27
Overseas / Unknown,330,298,2653,2022-01-27
New Zealand,511325,483809,571052,2022-01-27
All DHBs to 90%,NA,NA,NA,2022-01-27
