DHB,Dose1,Dose2,Population,Date
Northland,43288,40577,50488,2022-02-08
Waitemata,37677,36382,41113,2022-02-08
Auckland,26200,25292,27792,2022-02-08
Counties Manukau,56935,54156,63493,2022-02-08
Waikato,62944,59631,69707,2022-02-08
Lakes,26808,25275,30085,2022-02-08
Bay of Plenty,41479,39008,47734,2022-02-08
Tairawhiti,17832,16891,19839,2022-02-08
Taranaki,14317,13567,15904,2022-02-08
Hawkes Bay,30701,28930,34059,2022-02-08
MidCentral,22706,21598,24225,2022-02-08
Whanganui,11694,11082,13512,2022-02-08
Capital and Coast,25626,24859,26967,2022-02-08
Hutt Valley,17851,17077,19123,2022-02-08
Wairarapa,5870,5576,6302,2022-02-08
Nelson Marlborough,10171,9700,11248,2022-02-08
West Coast,2484,2361,2765,2022-02-08
Canterbury,35012,33721,36969,2022-02-08
South Canterbury,3126,2979,3428,2022-02-08
Southern,21894,21106,23646,2022-02-08
Overseas / Unknown,326,301,2653,2022-02-08
New Zealand,514941,490069,571052,2022-02-08
All DHBs to 90%,NA,NA,NA,2022-02-08
